Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,2.99B,2.18B,2.32B,2.03B,812M
Cash & Short Term Investments Growth,-,-27.12%,6.29%,-12.26%,-60.04%
Cash Only,2.99B,2.18B,2.24B,1.94B,724M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,7.47%,5.43%,5.63%,5.02%,2.01%
Total Accounts Receivable,1.19B,1.33B,1.15B,1.28B,1.49B
Total Accounts Receivable Growth,-,11.24%,-13.42%,11.24%,16.60%
"Accounts Receivables, Net",1.19B,1.33B,1.15B,1.28B,1.49B
"Accounts Receivables, Gross",1.22B,1.35B,1.18B,1.31B,1.52B
Bad Debt/Doubtful Accounts,(26M),(26M),(28M),(30M),(28M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,2.51,2.48,2.99,2.67,2.56
Inventories,289M,303M,339M,351M,379M
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,289M,303M,339M,351M,379M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,102M,89M,70M,97M,104M
Miscellaneous Current Assets,102M,89M,70M,97M,104M
Total Current Assets,4.57B,3.9B,3.87B,3.76B,2.78B
"Net Property, Plant & Equipment",32.95B,33.32B,33.52B,33.48B,34.13B
"Property, Plant & Equipment - Gross",46.18B,46.73B,47.01B,47.09B,47.94B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,13.23B,13.41B,13.49B,13.61B,13.8B
Total Investments and Advances,2.14B,2.18B,2.19B,2.26B,2.41B
Other Long-Term Investments,108M,116M,91M,119M,162M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,-,451M,451M,453M,557M
Net Goodwill,-,-,-,-,-
Net Other Intangibles,-,451M,-,-,-
Other Assets,353M,284M,501M,500M,478M
Total Assets,40.02B,40.13B,41.14B,40.45B,40.37B
Total Assets Growth,-,0.28%,2.51%,-1.66%,-0.21%
