Item,30-Apr-2021,31-Jul-2021,31-Oct-2021,31-Jan-2022,30-Apr-2022
Cash & Short Term Investments,4.52B,4.54B,3.64B,3.21B,960M
Cash & Short Term Investments Growth,-,0.46%,-19.85%,-11.90%,-70.05%
Cash Only,4.39B,3.85B,3.01B,3.21B,960M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,25.52%,24.43%,18.10%,18.31%,6.29%
Total Accounts Receivable,850M,883M,1.02B,1.04B,804M
Total Accounts Receivable Growth,-,3.88%,15.06%,2.56%,-22.84%
"Accounts Receivables, Net",850M,883M,1.02B,1.04B,804M
"Accounts Receivables, Gross",875M,907M,1.04B,1.08B,829M
Bad Debt/Doubtful Accounts,(25M),(24M),(24M),(39M),(25M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,13.69,13.42,11.72,15.71,13.24
Inventories,5.72B,6.42B,8.55B,5.97B,6.26B
Finished Goods,5.72B,6.42B,8.55B,5.97B,6.26B
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,179M,201M,313M,327M,293M
Miscellaneous Current Assets,179M,201M,313M,327M,293M
Total Current Assets,11.27B,12.04B,13.52B,10.54B,8.32B
"Net Property, Plant & Equipment",4.8B,4.9B,4.94B,4.9B,4.96B
"Property, Plant & Equipment - Gross",-,-,-,11B,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,-,-,6.09B,-
Total Investments and Advances,118M,133M,112M,104M,55M
Other Long-Term Investments,118M,133M,112M,104M,55M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,1.27B,1.25B,1.23B,1.66B,1.64B
Net Goodwill,986M,986M,986M,1.38B,1.39B
Net Other Intangibles,281M,261M,-,-,-
Other Assets,256M,263M,299M,273M,288M
Total Assets,17.71B,18.58B,20.1B,17.5B,15.25B
Total Assets Growth,-,4.94%,8.20%,-12.92%,-12.87%
