Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,1.17B,1.35B,875.49M,2.08B,1.97B
Cash & Short Term Investments Growth,-,15.04%,-34.98%,137.47%,-5.09%
Cash Only,736.27M,863.67M,470.8M,802.33M,596.6M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,7.74%,6.75%,4.93%,14.46%,15.56%
Total Accounts Receivable,401.21M,419.61M,425.74M,470.71M,456.62M
Total Accounts Receivable Growth,-,4.59%,1.46%,10.56%,-2.99%
"Accounts Receivables, Net",399.31M,417.71M,423.54M,464.11M,450.32M
"Accounts Receivables, Gross",416.64M,432.73M,438.68M,477M,464.5M
Bad Debt/Doubtful Accounts,(17.33M),(15.01M),(15.14M),(12.9M),(14.18M)
Other Receivable,1.9M,1.9M,-,-,-
Accounts Receivable Turnover,1.78,1.78,1.72,1.49,1.51
Inventories,598.99M,588.91M,572.24M,605.49M,657.13M
Finished Goods,330.27M,321.63M,312.62M,306M,309.86M
Work in Progress,148.57M,145.62M,142.74M,153.25M,158.8M
Raw Materials,120.15M,121.66M,116.88M,146.24M,188.48M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,118.5M,111.33M,115.62M,148.17M,162.71M
Miscellaneous Current Assets,7.9M,6.74M,7.88M,21.51M,32.18M
Total Current Assets,2.29B,2.47B,1.99B,3.3B,3.25B
"Net Property, Plant & Equipment",672.23M,680.84M,695.75M,684.2M,656.47M
"Property, Plant & Equipment - Gross",1.64B,1.66B,1.69B,1.7B,1.68B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,965.6M,978.29M,-,-,1.02B
Total Investments and Advances,11.58B,16.23B,14.39B,9.69B,8.09B
Other Long-Term Investments,11.58B,16.23B,14.39B,9.69B,8.09B
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,476.77M,468.99M,601.28M,592.87M,587.07M
Net Goodwill,291.92M,291.92M,347.34M,345.73M,347.32M
Net Other Intangibles,184.85M,177.07M,-,-,-
Other Assets,98.18M,105.79M,102.33M,103.6M,100.58M
Total Assets,15.12B,19.95B,17.78B,14.37B,12.68B
Total Assets Growth,-,31.99%,-10.91%,-19.14%,-11.77%
