Item,01-Jan-0001,31-Jul-2021,31-Oct-2021,31-Jan-2022,30-Apr-2022
Cash & Short Term Investments,1.52B,1.48B,1.98B,1.79B,1.74B
Cash & Short Term Investments Growth,-,-2.90%,33.58%,-9.48%,-2.94%
Cash Only,1.52B,1.48B,1.98B,1.79B,1.74B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,3.03%,6.84%,3.78%,3.50%,3.42%
Total Accounts Receivable,1.74B,823.16M,1.46B,1.64B,1.61B
Total Accounts Receivable Growth,-,-52.76%,77.25%,12.19%,-1.75%
"Accounts Receivables, Net",-,823.16M,1.46B,1.64B,1.61B
"Accounts Receivables, Gross",-,823.16M,1.46B,1.64B,1.61B
Bad Debt/Doubtful Accounts,-,-,(2.66M),-,-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,1.78,2.14,1.60,1.64,1.85
Inventories,1.2B,657.52M,1.2B,972.57M,1.08B
Finished Goods,-,133.12M,270.34M,212.47M,233.73M
Work in Progress,-,482.23M,858.63M,679.64M,756.45M
Raw Materials,-,42.17M,71.64M,80.46M,85.12M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,-,129.07M,740.69M,236.8M,212.91M
Miscellaneous Current Assets,-,129.07M,740.69M,236.8M,212.91M
Total Current Assets,4.69B,3.09B,5.38B,4.64B,4.63B
"Net Property, Plant & Equipment",2.18B,1.17B,2.26B,2.04B,2.09B
"Property, Plant & Equipment - Gross",-,4.03B,5.21B,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,2.86B,2.96B,-,-
Total Investments and Advances,-,109.89M,127.86M,-,-
Other Long-Term Investments,-,109.89M,127.86M,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,40.68B,15.53B,42.19B,41.7B,41.18B
Net Goodwill,-,12.28B,26.92B,26.94B,26.92B
Net Other Intangibles,-,3.25B,-,-,-
Other Assets,-,314.18M,104.4M,521.01M,564.51M
Total Assets,50.35B,21.64B,52.32B,51.22B,50.8B
Total Assets Growth,-,-57.02%,141.77%,-2.11%,-0.81%
