Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,5.56B,3.62B,1.54B,1.41B,977M
Cash & Short Term Investments Growth,-,-34.83%,-57.47%,-8.44%,-30.71%
Cash Only,706M,3.62B,1.3B,1.12B,826M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,17.67%,12.29%,6.10%,5.60%,3.86%
Total Accounts Receivable,4.02B,3.98B,3.61B,3.85B,3.97B
Total Accounts Receivable Growth,-,-1.19%,-9.21%,6.76%,2.96%
"Accounts Receivables, Net",3.57B,3.65B,3.41B,3.62B,3.75B
"Accounts Receivables, Gross",3.64B,3.71B,3.44B,3.65B,3.78B
Bad Debt/Doubtful Accounts,(69M),(64M),(34M),(31M),(29M)
Other Receivable,452M,327M,-,-,-
Accounts Receivable Turnover,1.40,1.44,1.41,1.36,1.36
Inventories,1.83B,2.05B,1.81B,1.75B,1.9B
Finished Goods,1.56B,1.73B,1.5B,1.44B,1.58B
Work in Progress,-,-,-,-,-
Raw Materials,208M,241M,245M,251M,258M
Progress Payments & Other,64M,87M,69M,51M,56M
Other Current Assets,818M,246M,132M,174M,204M
Miscellaneous Current Assets,818M,246M,132M,174M,204M
Total Current Assets,12.23B,9.9B,7.1B,7.18B,7.05B
"Net Property, Plant & Equipment",12.28B,12.07B,10.82B,10.71B,10.62B
"Property, Plant & Equipment - Gross",33.28B,33.27B,28.38B,28.51B,28.62B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,21B,21.2B,17.56B,17.8B,18B
Total Investments and Advances,622M,713M,755M,612M,935M
Other Long-Term Investments,622M,713M,755M,612M,935M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,3.61B,3.56B,3.4B,3.38B,3.37B
Net Goodwill,3.32B,3.27B,3.13B,3.13B,3.12B
Net Other Intangibles,290M,290M,-,-,-
Other Assets,2.71B,3.23B,3.17B,3.27B,3.32B
Total Assets,31.45B,29.47B,25.24B,25.16B,25.28B
Total Assets Growth,-,-6.29%,-14.35%,-0.34%,0.49%
