Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,3.65B,3.12B,3.28B,3.45B,2.64B
Cash & Short Term Investments Growth,-,-14.51%,5.17%,5.22%,-23.51%
Cash Only,3.54B,2.98B,3.03B,3.21B,2.47B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,5.90%,5.05%,5.20%,5.45%,4.25%
Total Accounts Receivable,9.16B,9.46B,9.59B,10B,9.75B
Total Accounts Receivable Growth,-,3.32%,1.34%,4.24%,-2.42%
"Accounts Receivables, Net",6.51B,6.9B,6.88B,7.46B,7.51B
"Accounts Receivables, Gross",6.57B,6.96B,6.93B,7.67B,7.72B
Bad Debt/Doubtful Accounts,(59M),(59M),(54M),(215M),(212M)
Other Receivable,2.65B,2.57B,-,-,-
Accounts Receivable Turnover,1.52,1.57,1.50,1.53,1.61
Inventories,6.95B,7.11B,7.37B,7.76B,8.23B
Finished Goods,4.14B,4.23B,4.55B,4.76B,5.17B
Work in Progress,1.41B,1.56B,1.62B,1.86B,1.99B
Raw Materials,1.66B,1.74B,1.69B,1.79B,1.9B
Progress Payments & Other,(263M),(425M),(485M),(639M),(838M)
Other Current Assets,597M,704M,610M,961M,1.15B
Miscellaneous Current Assets,597M,704M,610M,961M,1.15B
Total Current Assets,20.35B,20.39B,20.85B,22.17B,21.77B
"Net Property, Plant & Equipment",21.61B,21.38B,21.97B,21.69B,21.43B
"Property, Plant & Equipment - Gross",58.31B,58.25B,59.02B,59.05B,58.45B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,36.7B,36.87B,37.05B,37.36B,37.02B
Total Investments and Advances,4.56B,5.03B,5.25B,4.93B,4.66B
Other Long-Term Investments,2.81B,3.12B,3.2B,3.11B,2.8B
Long-Term Note Receivables,508M,511M,504M,478M,562M
Intangible Assets,11.93B,11.76B,11.65B,11.48B,11.22B
Net Goodwill,8.83B,8.8B,8.76B,8.72B,8.61B
Net Other Intangibles,3.09B,2.96B,-,-,-
Other Assets,1.28B,1.32B,1.42B,1.44B,1.38B
Total Assets,61.77B,61.75B,62.99B,63.34B,62.14B
Total Assets Growth,-,-0.03%,2.01%,0.55%,-1.88%
