Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,41.04B,46.43B,49.59B,41.23B,36.7B
Cash & Short Term Investments Growth,-,13.13%,6.82%,-16.87%,-10.98%
Cash Only,22.96B,27.43B,20.54B,21.01B,19.52B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,16.51%,18.37%,19.29%,16.30%,14.93%
Total Accounts Receivable,43.22B,43.58B,44.04B,45.93B,45.87B
Total Accounts Receivable Growth,-,0.82%,1.06%,4.29%,-0.12%
"Accounts Receivables, Net",43.09B,43.45B,43.91B,45.81B,45.75B
"Accounts Receivables, Gross",43.49B,43.8B,44.28B,46.15B,46.05B
Bad Debt/Doubtful Accounts,(396M),(349M),(366M),(339M),(293M)
Other Receivable,133M,125M,-,-,-
Accounts Receivable Turnover,0.62,0.82,0.86,0.75,0.88
Inventories,13.59B,13.51B,12.07B,14.65B,13.98B
Finished Goods,8.02B,7.59B,6.28B,8.53B,7.93B
Work in Progress,-,-,-,-,-
Raw Materials,5.58B,5.92B,5.79B,6.12B,6.05B
Progress Payments & Other,-,-,-,-,-
Other Current Assets,3.42B,3.46B,3.3B,4.34B,3.92B
Miscellaneous Current Assets,3.42B,3.46B,3.3B,4.34B,3.92B
Total Current Assets,101.28B,106.97B,109B,106.14B,100.47B
"Net Property, Plant & Equipment",64.29B,63.34B,64.84B,62.17B,60.7B
"Property, Plant & Equipment - Gross",-,-,101.99B,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,4.6B,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,-,37.16B,-,-
Total Investments and Advances,7.69B,7.72B,5.64B,5.7B,6.1B
Other Long-Term Investments,207M,195M,197M,194M,600M
Long-Term Note Receivables,51.84B,50.84B,51.26B,50B,49.74B
Intangible Assets,741M,695M,619M,617M,595M
Net Goodwill,741M,695M,619M,617M,595M
Net Other Intangibles,-,-,-,-,-
Other Assets,10.44B,11.22B,11.89B,13.37B,13.11B
Total Assets,248.53B,252.68B,257.04B,252.99B,245.76B
Total Assets Growth,-,1.67%,1.72%,-1.58%,-2.86%
