Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,336M,320M,144M,101M,68M
Cash & Short Term Investments Growth,-,-4.76%,-55.00%,-29.86%,-32.67%
Cash Only,336M,320M,144M,101M,68M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,1.71%,1.58%,0.69%,0.50%,0.33%
Total Accounts Receivable,1.4B,1.6B,1.68B,1.61B,1.74B
Total Accounts Receivable Growth,-,14.43%,4.68%,-4.17%,8.53%
"Accounts Receivables, Net",1.4B,1.6B,1.68B,1.61B,1.74B
"Accounts Receivables, Gross",1.51B,1.72B,1.79B,1.72B,1.86B
Bad Debt/Doubtful Accounts,(112M),(115M),(112M),(116M),(117M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,1.63,1.62,1.66,1.57,1.59
Inventories,174M,166M,164M,179M,199M
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,174M,166M,164M,179M,199M
Other Current Assets,244M,112M,166M,123M,153M
Miscellaneous Current Assets,244M,112M,113M,123M,153M
Total Current Assets,2.15B,2.2B,2.15B,2.01B,2.16B
"Net Property, Plant & Equipment",11.02B,11.94B,11.96B,12.02B,12.47B
"Property, Plant & Equipment - Gross",-,-,18.71B,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,-,6.75B,-,-
Total Investments and Advances,-,-,-,-,-
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,6.42B,6.12B,6.14B,6.1B,6.14B
Net Goodwill,5.85B,5.46B,5.53B,5.52B,5.61B
Net Other Intangibles,576M,662M,-,-,-
Other Assets,42M,44M,42M,38M,41M
Total Assets,19.64B,20.31B,20.85B,20.17B,20.82B
Total Assets Growth,-,3.39%,2.67%,-3.26%,3.23%
