Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Total Cash & Due from Banks,4.62B,4.61B,3.63B,2.98B,3.52B
Cash & Due from Banks Growth,-,-0.28%,-21.17%,-18.04%,18.11%
Investments - Total,263.28B,258.95B,252.37B,256.01B,234.68B
Investments Growth,-,-1.64%,-2.54%,1.45%,-8.33%
Trading Account Securities,721M,720M,758M,754M,728M
Federal Funds Sold & Securities Purchased,-,-,-,-,-
Federal Funds Sold,-,-,-,-,-
Securities Bought Under Resale Agreement,-,-,-,-,-
Treasury Securities,-,-,-,-,-
Federal Agency Securities,-,-,-,-,-
State & Municipal Securities,-,-,-,-,-
Mortgage Backed Securities,-,-,-,-,-
Other Securities,-,-,-,-,-
Other Investments,121.2B,115.12B,110.47B,110.8B,100.84B
Net Loans,30.6B,32.7B,32.45B,35.06B,33.47B
Gross Loans - Net of Unearned Income,30.7B,32.8B,-,-,-
Commercial & Industrial Loans,10.34B,10.68B,9.8B,13.19B,10.39B
Consumer & Installment Loans,-,-,-,-,-
Real Estate Mortgage Loans,-,-,-,-,-
Lease Financing Loans,-,-,-,-,-
Foreign Loans,-,-,-,-,-
Broker & Financial Institution Loans,-,-,-,-,-
Unspecified/Other Loans,-,-,-,-,-
Unearned Income,-,-,-,-,-
Loan Loss Allowances (Reserves),(100M),(95M),(87M),(86M),(95M)
Customer Liability on Acceptances,-,-,-,-,-
Loans - 1 Yr Growth Rate,-,6.86%,-0.79%,8.04%,-4.52%
Loans (Total) / Total Deposits,-,-,-,-,-
Loans (Total) / Total Assets,-,-,-,-,-
"Net Property, Plant & Equipment",2.79B,2.8B,2.8B,2.78B,2.74B
Other Assets (Including Intangibles),18.45B,17.33B,16.69B,18.08B,18.14B
Other Assets,8.89B,7.8B,7.25B,8.75B,9.02B
Intangible Assets,9.56B,9.54B,9.44B,9.33B,9.12B
Interest Receivables,3.36B,3.41B,3.28B,3.45B,3.4B
Total Assets,326.53B,323.14B,314.62B,322.35B,300.22B
Assets - Total Growth,-,-1.04%,-2.64%,2.46%,-6.86%
Return On Average Assets,-,-,-,-,0.86%
