Item,31-May-2021,31-Aug-2021,30-Nov-2021,28-Feb-2022,31-May-2022
Cash & Short Term Investments,2.75B,2.79B,2.93B,1.58B,1.52B
Cash & Short Term Investments Growth,-,1.57%,5.13%,-46.19%,-3.39%
Cash Only,2.75B,2.79B,2.93B,1.58B,1.52B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,8.80%,8.52%,8.83%,4.84%,4.45%
Total Accounts Receivable,887.83M,874.51M,1.3B,916.39M,1.11B
Total Accounts Receivable Growth,-,-1.50%,48.29%,-29.34%,21.35%
"Accounts Receivables, Net",887.83M,874.51M,1.3B,916.39M,1.11B
"Accounts Receivables, Gross",887.83M,874.51M,1.3B,916.39M,1.11B
Bad Debt/Doubtful Accounts,-,-,(2.53M),-,-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,7.26,7.93,6.50,7.22,7.58
Inventories,18.74B,19.46B,19.17B,20.99B,22.49B
Finished Goods,10.42B,10.89B,10.45B,11.59B,13.21B
Work in Progress,7.41B,7.56B,7.56B,8.15B,7.59B
Raw Materials,-,-,-,-,-
Progress Payments & Other,910M,1B,1.16B,1.25B,1.69B
Other Current Assets,35.64M,21.52M,21.93M,27.03M,28.44M
Miscellaneous Current Assets,35.64M,21.52M,21.93M,27.03M,28.44M
Total Current Assets,22.41B,23.14B,23.42B,23.51B,25.16B
"Net Property, Plant & Equipment",157.44M,157.16M,495.52M,152.07M,149.77M
"Property, Plant & Equipment - Gross",-,-,694.38M,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,-,198.86M,-,-
Total Investments and Advances,2.91B,3.47B,3.22B,2.96B,2.84B
Other Long-Term Investments,827.16M,1.41B,1.25B,2.29B,795.52M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,3.63B,3.63B,3.63B,3.63B,3.63B
Net Goodwill,3.63B,3.63B,3.63B,3.63B,3.63B
Net Other Intangibles,-,-,-,-,-
Other Assets,2.12B,2.34B,2.44B,2.38B,2.53B
Total Assets,31.22B,32.74B,33.21B,32.64B,34.31B
Total Assets Growth,-,4.87%,1.42%,-1.72%,5.12%
