Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,3.98B,1.74B,2.02B,1.73B,1.51B
Cash & Short Term Investments Growth,-,-56.33%,16.40%,-14.29%,-13.03%
Cash Only,3.98B,1.74B,2.02B,1.73B,1.5B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,8.68%,3.78%,4.43%,3.82%,3.39%
Total Accounts Receivable,2.83B,2.91B,2.71B,2.33B,2.27B
Total Accounts Receivable Growth,-,2.90%,-6.77%,-14.16%,-2.58%
"Accounts Receivables, Net",2.2B,2.3B,2.13B,1.79B,1.77B
"Accounts Receivables, Gross",2.23B,2.33B,2.16B,1.82B,1.8B
Bad Debt/Doubtful Accounts,(35M),(33M),(32M),(34M),(37M)
Other Receivable,628M,607M,-,-,-
Accounts Receivable Turnover,1.46,1.47,1.58,1.41,1.47
Inventories,2.64B,2.84B,2.86B,2.24B,2.36B
Finished Goods,1.61B,1.67B,1.71B,1.29B,1.31B
Work in Progress,591M,528M,533M,475M,526M
Raw Materials,438M,646M,623M,473M,518M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,1.04B,1.01B,469M,8.14B,7.88B
Miscellaneous Current Assets,1.04B,1.01B,469M,8.14B,7.88B
Total Current Assets,10.49B,8.5B,8.07B,14.44B,14.01B
"Net Property, Plant & Equipment",7.27B,7.34B,7.43B,6.09B,5.99B
"Property, Plant & Equipment - Gross",11.8B,11.94B,12.17B,10.3B,10.25B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,4.53B,4.6B,4.74B,4.22B,4.25B
Total Investments and Advances,1.07B,1.08B,1.11B,874M,1.05B
Other Long-Term Investments,154M,153M,229M,155M,315M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,26.27B,28.33B,28.02B,22.92B,22.42B
Net Goodwill,18.57B,19.69B,19.58B,16.88B,16.61B
Net Other Intangibles,7.71B,8.64B,-,-,-
Other Assets,555M,588M,937M,944M,842M
Total Assets,45.84B,46.02B,45.71B,45.39B,44.44B
Total Assets Growth,-,0.38%,-0.67%,-0.69%,-2.10%
