Item,01-Jan-0001,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022
Cash & Short Term Investments,953.2M,2.02B,1.66B,1.65B,1.07B
Cash & Short Term Investments Growth,-,111.48%,-17.89%,-0.45%,-34.88%
Cash Only,789.8M,2.01B,1.25B,1.26B,806M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,13.12%,24.05%,20.65%,20.78%,14.62%
Total Accounts Receivable,469.5M,454.8M,430.5M,474.2M,416.9M
Total Accounts Receivable Growth,-,-3.13%,-5.34%,10.15%,-12.08%
"Accounts Receivables, Net",-,200.2M,236.8M,292.7M,242.9M
"Accounts Receivables, Gross",-,204.4M,241.3M,296.4M,247.2M
Bad Debt/Doubtful Accounts,-,(4.2M),(4.5M),(3.7M),(4.3M)
Other Receivable,-,254.6M,193.7M,-,-
Accounts Receivable Turnover,3.46,3.55,3.44,4.52,3.45
Inventories,994.2M,734.8M,818.3M,750M,913M
Finished Goods,-,734.8M,818.3M,750M,913M
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,-,169.9M,182.2M,186.6M,155.7M
Miscellaneous Current Assets,-,76.1M,78.9M,82.4M,59.7M
Total Current Assets,2.57B,3.38B,3.09B,3.06B,2.56B
"Net Property, Plant & Equipment",1.83B,2.17B,2.1B,2.05B,1.94B
"Property, Plant & Equipment - Gross",-,3.32B,-,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,601.6M,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,1.14B,-,-,-
Total Investments and Advances,-,-,-,-,-
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,2.61B,2.67B,2.67B,2.66B,2.64B
Net Goodwill,-,1.3B,1.29B,1.29B,1.27B
Net Other Intangibles,-,1.37B,1.37B,-,-
Other Assets,-,96.1M,158.2M,164.3M,206.6M
Total Assets,7.27B,8.38B,8.01B,7.93B,7.34B
Total Assets Growth,-,15.38%,-4.39%,-1.06%,-7.46%
