Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,90.4M,56.3M,94.9M,130.4M,99.5M
Cash & Short Term Investments Growth,-,-37.72%,68.56%,37.41%,-23.70%
Cash Only,90.4M,56.3M,94.9M,130.4M,99.5M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,0.41%,0.25%,0.38%,0.54%,0.40%
Total Accounts Receivable,595.4M,585.9M,925.2M,1.06B,849.2M
Total Accounts Receivable Growth,-,-1.60%,57.91%,14.54%,-19.86%
"Accounts Receivables, Net",595.4M,585.9M,925.2M,1.06B,849.2M
"Accounts Receivables, Gross",637M,614.2M,948.7M,1.09B,875.3M
Bad Debt/Doubtful Accounts,(41.6M),(28.3M),(23.5M),(28.5M),(26.1M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,1.66,1.64,1.52,1.77,1.39
Inventories,330.9M,471.4M,498.7M,263.2M,491.6M
Finished Goods,187.4M,334.3M,359.6M,116.3M,348.7M
Work in Progress,-,-,-,-,-
Raw Materials,143.5M,137.1M,139.1M,146.9M,142.9M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,367.5M,357.8M,402M,418.6M,471.4M
Miscellaneous Current Assets,367.5M,357.8M,402M,418.6M,471.4M
Total Current Assets,1.38B,1.47B,1.92B,1.87B,1.91B
"Net Property, Plant & Equipment",17.16B,17.52B,17.92B,18.12B,18.51B
"Property, Plant & Equipment - Gross",24.95B,25.44B,25.21B,25.54B,26.05B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,7.79B,7.92B,7.29B,7.42B,7.53B
Total Investments and Advances,256.5M,272.1M,273.5M,287.5M,296M
Other Long-Term Investments,256.5M,272.1M,272.7M,286.7M,295.2M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,1.49B,1.49B,1.49B,1.49B,1.49B
Net Goodwill,1.49B,1.49B,1.49B,1.49B,1.49B
Net Other Intangibles,-,-,-,-,-
Other Assets,2.03B,2.03B,2.56B,2.6B,2.61B
Total Assets,22.31B,22.78B,25.26B,24.37B,24.81B
Total Assets Growth,-,2.08%,10.90%,-3.54%,1.84%
