Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,521.01M,449.67M,527.18M,739.12M,872.8M
Cash & Short Term Investments Growth,-,-13.69%,17.24%,40.20%,18.09%
Cash Only,501.11M,428.57M,513.99M,726.69M,865.6M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,7.76%,6.88%,7.56%,10.76%,12.45%
Total Accounts Receivable,665.52M,532M,885.31M,602.54M,748.64M
Total Accounts Receivable Growth,-,-20.06%,66.41%,-31.94%,24.25%
"Accounts Receivables, Net",665.52M,532M,885.31M,602.54M,696.84M
"Accounts Receivables, Gross",688.99M,554.79M,918.59M,642.88M,739.57M
Bad Debt/Doubtful Accounts,(23.47M),(22.79M),(33.28M),(40.34M),(42.73M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,1.22,1.46,0.96,1.37,1.15
Inventories,21.7M,24.44M,23.16M,26.99M,24.91M
Finished Goods,21.7M,24.44M,23.16M,26.99M,24.91M
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,217.89M,257.68M,200.94M,222.49M,166.09M
Miscellaneous Current Assets,217.89M,257.68M,200.94M,222.49M,166.09M
Total Current Assets,1.43B,1.26B,1.64B,1.59B,1.81B
"Net Property, Plant & Equipment",417.66M,421.62M,373.72M,350.11M,339.72M
"Property, Plant & Equipment - Gross",-,-,1.11B,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,625.55M,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,-,733.13M,-,-
Total Investments and Advances,55.48M,57.93M,60.65M,56.07M,40.9M
Other Long-Term Investments,55.48M,57.93M,60.65M,56.07M,40.9M
Long-Term Note Receivables,-,-,-,-,40.7M
Intangible Assets,4.31B,4.27B,4.16B,4.13B,4.1B
Net Goodwill,3.46B,3.46B,3.4B,3.4B,3.4B
Net Other Intangibles,852.66M,816.91M,-,-,-
Other Assets,272.16M,289.57M,326.46M,325.49M,283.34M
Total Assets,6.71B,6.54B,6.98B,6.87B,7.01B
Total Assets Growth,-,-2.65%,6.72%,-1.56%,2.11%
