Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,3.11B,3.12B,2.55B,2.14B,1.75B
Cash & Short Term Investments Growth,-,0.25%,-18.24%,-16.07%,-18.06%
Cash Only,1.88B,1.85B,1.32B,923.5M,710M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,56.00%,52.27%,43.11%,37.90%,33.15%
Total Accounts Receivable,587.8M,607.3M,807.7M,790.4M,919.5M
Total Accounts Receivable Growth,-,3.32%,33.00%,-2.14%,16.33%
"Accounts Receivables, Net",584.6M,604.9M,807.7M,790.4M,919.5M
"Accounts Receivables, Gross",587.3M,607.5M,810.1M,792.9M,924.7M
Bad Debt/Doubtful Accounts,(2.7M),(2.6M),(2.4M),(2.5M),(5.2M)
Other Receivable,-,2.4M,-,-,-
Accounts Receivable Turnover,1.36,1.43,1.19,1.21,1.12
Inventories,149.8M,177.9M,175.8M,184.6M,195.2M
Finished Goods,133.6M,134.4M,125.8M,137.2M,144.3M
Work in Progress,-,7.9M,9.8M,8.3M,9.6M
Raw Materials,16.2M,35.6M,40.2M,39.1M,41.3M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,57.4M,57.3M,65.4M,91.7M,83.3M
Miscellaneous Current Assets,57.4M,57.3M,65.4M,91.7M,83.3M
Total Current Assets,3.91B,3.96B,3.6B,3.21B,2.95B
"Net Property, Plant & Equipment",566.2M,620.2M,752.7M,786.5M,814.6M
"Property, Plant & Equipment - Gross",758.1M,826.2M,964.4M,1.01B,1.06B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,155.3M,166.4M,176.1M,188M,207.8M
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,191.9M,206M,211.7M,227.5M,242.6M
Total Investments and Advances,247.6M,298.2M,441.8M,360.8M,188.5M
Other Long-Term Investments,247.6M,298.2M,441.8M,360.8M,188.5M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,127.9M,198.6M,188.7M,178.9M,166.7M
Net Goodwill,99.2M,127.6M,125.1M,123.8M,121.3M
Net Other Intangibles,28.7M,71M,-,-,-
Other Assets,437.8M,552.8M,593M,684.9M,691.6M
Total Assets,5.56B,5.97B,5.92B,5.65B,5.29B
Total Assets Growth,-,7.41%,-0.86%,-4.53%,-6.31%
