Item,31-May-2021,31-Aug-2021,30-Nov-2021,28-Feb-2022,31-May-2022
Cash & Short Term Investments,10.01B,8.17B,5.64B,5.47B,6.71B
Cash & Short Term Investments Growth,-,-18.39%,-30.94%,-3.05%,22.58%
Cash Only,10.01B,8.17B,5.64B,5.47B,6.7B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,23.77%,18.93%,12.92%,12.35%,14.55%
Total Accounts Receivable,9.47B,9.73B,11.12B,11.59B,12.22B
Total Accounts Receivable Growth,-,2.69%,14.31%,4.23%,5.42%
"Accounts Receivables, Net",9.47B,9.73B,11.12B,11.59B,12.22B
"Accounts Receivables, Gross",9.51B,9.74B,11.15B,11.62B,12.24B
Bad Debt/Doubtful Accounts,(36.03M),(13.8M),(32.52M),(27.85M),(25.9M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,1.40,1.38,1.35,1.30,1.32
Inventories,-,-,-,-,-
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,1.66B,1.77B,1.86B,2.12B,2.08B
Miscellaneous Current Assets,1.66B,1.77B,1.86B,2.12B,2.08B
Total Current Assets,21.14B,19.67B,18.62B,19.19B,21.01B
"Net Property, Plant & Equipment",4.67B,4.82B,4.81B,4.91B,4.84B
"Property, Plant & Equipment - Gross",7.22B,7.23B,7.28B,7.48B,7.47B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,2.05B,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,2.55B,2.41B,2.47B,2.58B,2.63B
Total Investments and Advances,381.22M,399.78M,370.27M,397.89M,372.79M
Other Long-Term Investments,194.51M,215.62M,193.15M,217.27M,200.28M
Long-Term Note Receivables,40.46M,38.33M,41.61M,39.44M,35.71M
Intangible Assets,10.36B,12.84B,14.34B,14.27B,14.32B
Net Goodwill,9.14B,11.13B,12.4B,12.43B,12.5B
Net Other Intangibles,1.22B,1.71B,-,-,-
Other Assets,1.3B,1.41B,1.45B,1.5B,1.5B
Total Assets,42.12B,43.18B,43.67B,44.32B,46.1B
Total Assets Growth,-,2.49%,1.16%,1.47%,4.01%
