Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,2.9B,2.34B,1.9B,1.85B,1.7B
Cash & Short Term Investments Growth,-,-19.12%,-18.82%,-2.58%,-8.09%
Cash Only,2.81B,2.24B,1.81B,1.75B,1.62B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,23.08%,16.26%,12.96%,12.57%,11.90%
Total Accounts Receivable,1.46B,1.59B,1.72B,1.82B,1.6B
Total Accounts Receivable Growth,-,8.98%,8.24%,6.05%,-12.17%
"Accounts Receivables, Net",1.46B,1.59B,1.72B,1.82B,1.6B
"Accounts Receivables, Gross",1.49B,1.62B,1.75B,1.87B,1.65B
Bad Debt/Doubtful Accounts,(32M),(35M),(32M),(44M),(46M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,1.07,0.96,0.89,0.83,0.86
Inventories,-,-,-,-,-
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,379M,323M,389M,385M,515M
Miscellaneous Current Assets,176M,144M,178M,168M,159M
Total Current Assets,4.73B,4.26B,4.01B,4.06B,3.82B
"Net Property, Plant & Equipment",639M,752M,785M,808M,846M
"Property, Plant & Equipment - Gross",1.61B,1.74B,1.8B,1.84B,1.9B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,771M,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,969M,988M,1.01B,1.04B,1.06B
Total Investments and Advances,292M,280M,612M,604M,721M
Other Long-Term Investments,141M,131M,169M,154M,207M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,6.37B,8.41B,8.47B,8.46B,8.14B
Net Goodwill,4.59B,5.9B,6B,6.04B,5.84B
Net Other Intangibles,1.78B,2.51B,-,-,-
Other Assets,264M,356M,422M,457M,446M
Total Assets,12.55B,14.41B,14.68B,14.74B,14.32B
Total Assets Growth,-,14.83%,1.85%,0.40%,-2.88%
