Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash Only,3.82B,3.48B,5.08B,4.42B,4.42B
Cash Growth,-,-8.85%,45.88%,-12.93%,-0.07%
Total Investment Assets,24.93B,25.13B,19.36B,18.42B,17.48B
Investments Growth,-,0.81%,-22.97%,-4.82%,-5.13%
Total Fixed Income Securities Investment,-,-,-,-,-
Bonds,-,-,-,-,-
Redeemable Preferred Stock,-,-,-,-,-
Total Equity Securities Investment,-,-,-,-,-
Common Stocks,-,-,-,-,-
Non-Redeemable Preferred Stock,-,-,-,-,-
Real Estate Assets,1.08B,1.16B,1.15B,1.21B,1.36B
"Mortgage, Policy & Other Loans",-,-,-,-,-
Other Investments,-,-,(2.69B),-,-
Yield On Investment,-,-,-,-,-
Premium Balance Receivables,2.43B,2.57B,2.93B,2.65B,2.79B
Premium Balance Growth,-,5.68%,14.22%,-9.72%,5.40%
"Net Property, Plant & Equipment",4.59B,4.59B,4.17B,4.12B,4.1B
Investment in Unconsolidated Subs.,900M,900M,8.4B,8.8B,1B
Other Assets (Including Intangibles),112.43B,112.55B,109.38B,109.26B,117.96B
Separate & Variable Account Assets,9.26B,9.15B,8.34B,8.15B,7.5B
Deferred Charges,3.4B,3.37B,677M,719M,742M
Tangible Other Assets,18.7B,19.36B,(13.77B),20.88B,30.64B
Intangible Assets,81.07B,80.67B,114.14B,79.52B,79.09B
Total Assets,149.09B,149.22B,151.02B,147.67B,147.76B
Assets - Total - 1 Year Growth,-,0.08%,1.21%,-2.22%,0.06%
Return On Average Assets,-,-,-,-,3.56%
