Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Total Cash & Due from Banks,1.41B,1.48B,1.34B,1.41B,1.69B
Cash & Due from Banks Growth,-,4.91%,-9.61%,5.52%,19.61%
Investments - Total,40.79B,46.16B,49.54B,45.8B,56.89B
Investments Growth,-,13.16%,7.33%,-7.56%,24.23%
Trading Account Securities,712.56M,624.56M,468.03M,197.56M,133.86M
Federal Funds Sold & Securities Purchased,-,-,-,-,-
Federal Funds Sold,-,-,-,-,250.25M
Securities Bought Under Resale Agreement,-,-,-,-,-
Treasury Securities,-,-,-,-,-
Federal Agency Securities,-,-,-,-,-
State & Municipal Securities,-,-,-,-,-
Mortgage Backed Securities,-,-,-,-,-
Other Securities,-,-,-,-,-
Other Investments,34.32B,39.47B,42.31B,36.63B,34.33B
Net Loans,95.54B,92.07B,91.44B,90.34B,126.66B
Gross Loans - Net of Unearned Income,96.74B,93.29B,-,-,-
Commercial & Industrial Loans,25.41B,22.51B,23.47B,23.5B,39.11B
Consumer & Installment Loans,13.73B,14.2B,14.41B,14.67B,14.76B
Real Estate Mortgage Loans,57.97B,56.87B,55.03B,53.65B,74.62B
Lease Financing Loans,-,-,-,-,-
Foreign Loans,-,-,-,-,-
Broker & Financial Institution Loans,-,-,-,-,-
Unspecified/Other Loans,-,-,-,-,-
Unearned Income,(374.52M),(290.02M),(224.23M),(196.36M),(199.16M)
Loan Loss Allowances (Reserves),(1.58B),(1.52B),(1.47B),(1.47B),(1.82B)
Customer Liability on Acceptances,-,-,-,-,-
Loans - 1 Yr Growth Rate,-,-3.63%,-0.68%,-1.21%,40.21%
Loans (Total) / Total Deposits,-,-,-,-,-
Loans (Total) / Total Assets,-,-,-,-,-
"Net Property, Plant & Equipment",1.12B,1.12B,1.14B,1.13B,1.6B
Other Assets (Including Intangibles),11.36B,10.7B,11.3B,10.86B,16.72B
Other Assets,6.75B,6.1B,6.71B,6.26B,7.97B
Intangible Assets,4.6B,4.6B,4.6B,4.6B,8.75B
Interest Receivables,409.75M,378.43M,335.16M,301.86M,475.78M
Total Assets,150.62B,151.9B,155.11B,149.86B,204.03B
Assets - Total Growth,-,0.85%,2.11%,-3.38%,36.15%
Return On Average Assets,-,-,-,-,1.24%
