Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,1.18B,215M,1.15B,197M,1.24B
Cash & Short Term Investments Growth,-,-81.75%,433.02%,-82.81%,529.44%
Cash Only,1.18B,215M,1.15B,197M,1.24B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,1.87%,0.34%,1.82%,0.31%,1.91%
Total Accounts Receivable,2.81B,3.05B,3.11B,3.24B,3.28B
Total Accounts Receivable Growth,-,8.73%,1.77%,4.22%,1.39%
"Accounts Receivables, Net",2.55B,2.77B,2.8B,2.93B,2.95B
"Accounts Receivables, Gross",2.83B,3.09B,3.13B,3.29B,3.3B
Bad Debt/Doubtful Accounts,(282M),(320M),(339M),(361M),(345M)
Other Receivable,259M,280M,-,-,-
Accounts Receivable Turnover,1.06,1.18,1.11,1.26,1.04
Inventories,360M,405M,437M,404M,449M
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,360M,405M,437M,404M,449M
Other Current Assets,765M,1.42B,862M,1.62B,1.05B
Miscellaneous Current Assets,510M,577M,567M,828M,689M
Total Current Assets,5.11B,5.1B,5.55B,5.46B,6.02B
"Net Property, Plant & Equipment",48.16B,48.76B,49.41B,49.82B,50.51B
"Property, Plant & Equipment - Gross",60.4B,61.26B,62.21B,62.9B,63.91B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,12.25B,12.5B,12.8B,13.08B,13.4B
Total Investments and Advances,1.69B,1.08B,853M,969M,937M
Other Long-Term Investments,-,-,-,136M,143M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,1.79B,1.76B,1.73B,1.71B,1.68B
Net Goodwill,446M,446M,439M,439M,439M
Net Other Intangibles,1.34B,1.32B,-,-,-
Other Assets,6.18B,6.24B,5.58B,5.78B,5.92B
Total Assets,62.92B,62.94B,63.12B,63.74B,65.07B
Total Assets Growth,-,0.03%,0.28%,0.98%,2.09%
