Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,21.7B,29.7B,31.07B,23.9B,33.3B
Cash & Short Term Investments Growth,-,36.85%,4.62%,-23.08%,39.36%
Cash Only,2.37B,1.97B,1.94B,2.47B,1.78B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,12.77%,16.57%,17.12%,13.00%,17.05%
Total Accounts Receivable,10.59B,11.9B,11.48B,13.23B,15.16B
Total Accounts Receivable Growth,-,12.37%,-3.51%,15.21%,14.59%
"Accounts Receivables, Net",10.59B,11.9B,11.48B,13.23B,15.16B
"Accounts Receivables, Gross",11.09B,12.39B,11.97B,13.72B,15.62B
Bad Debt/Doubtful Accounts,(500M),(494M),(492M),(492M),(461M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,1.79,2.03,2.08,1.94,1.83
Inventories,8.95B,8.64B,9.06B,9.98B,10.45B
Finished Goods,3.7B,3.28B,3.64B,3.63B,3.22B
Work in Progress,4.39B,4.47B,4.42B,4.84B,5.19B
Raw Materials,859M,891M,994M,1.5B,2.04B
Progress Payments & Other,-,-,-,-,-
Other Current Assets,7.58B,7.67B,8.09B,7.32B,8.55B
Miscellaneous Current Assets,7.58B,7.67B,8.09B,7.32B,8.55B
Total Current Assets,48.81B,57.9B,59.69B,54.42B,67.47B
"Net Property, Plant & Equipment",14.22B,14.44B,17.72B,15.11B,15.24B
"Property, Plant & Equipment - Gross",29.55B,29.84B,32.8B,30.47B,30.21B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,15.33B,15.4B,15.07B,15.36B,14.97B
Total Investments and Advances,20.94B,21.6B,21.53B,21B,19.52B
Other Long-Term Investments,4.33B,5.25B,5.05B,5.01B,4.73B
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,77.19B,75.8B,74.35B,80.03B,78.96B
Net Goodwill,49.87B,49.49B,49.21B,50.21B,49.89B
Net Other Intangibles,27.32B,26.31B,-,-,-
Other Assets,6.06B,6.71B,4.84B,7.61B,7.1B
Total Assets,169.92B,179.19B,181.48B,183.84B,195.29B
Total Assets Growth,-,5.45%,1.28%,1.30%,6.23%
