Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,1.34B,1.35B,1.26B,1.32B,1.04B
Cash & Short Term Investments Growth,-,0.67%,-7.04%,5.42%,-21.09%
Cash Only,1.01B,1.03B,939.7M,1.03B,737.6M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,15.37%,15.48%,14.12%,14.99%,11.78%
Total Accounts Receivable,768.3M,774.3M,994.4M,848.8M,1.05B
Total Accounts Receivable Growth,-,0.78%,28.43%,-14.64%,23.52%
"Accounts Receivables, Net",768.3M,774.3M,994.4M,848.8M,1.05B
"Accounts Receivables, Gross",768.3M,774.3M,1B,848.8M,1.05B
Bad Debt/Doubtful Accounts,-,-,(6.7M),-,-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,1.53,1.54,1.31,1.38,1.21
Inventories,211.5M,223.2M,272.6M,317M,394.9M
Finished Goods,54.8M,56.3M,-,84.8M,77.1M
Work in Progress,-,-,-,-,-
Raw Materials,156.7M,166.9M,272.6M,232.2M,317.8M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,325.1M,391.9M,434.4M,549.3M,584.5M
Miscellaneous Current Assets,325.1M,391.9M,434.4M,549.3M,469.5M
Total Current Assets,2.65B,2.74B,2.96B,3.04B,3.07B
"Net Property, Plant & Equipment",906M,889.5M,864.3M,842.5M,820.9M
"Property, Plant & Equipment - Gross",-,-,2.18B,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,1.25B,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,-,1.32B,-,-
Total Investments and Advances,565.3M,572M,684.9M,436.8M,662M
Other Long-Term Investments,565.3M,572M,684.9M,436.8M,662M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,4.07B,4.05B,4.05B,3.95B,3.93B
Net Goodwill,3.75B,3.75B,3.76B,3.73B,3.73B
Net Other Intangibles,315.3M,295.1M,-,-,-
Other Assets,536.6M,471.1M,334.8M,560.8M,376.1M
Total Assets,8.72B,8.72B,8.89B,8.83B,8.86B
Total Assets Growth,-,-0.02%,1.90%,-0.67%,0.37%
