Item,01-Jan-0001,31-Jul-2021,31-Oct-2021,31-Jan-2022,30-Apr-2022
Cash & Short Term Investments,3.9B,5.58B,5.27B,4.93B,4.03B
Cash & Short Term Investments Growth,-,42.94%,-5.55%,-6.39%,-18.38%
Cash Only,3.9B,5.58B,5.27B,4.93B,4.03B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,29.62%,40.90%,37.87%,33.76%,30.43%
Total Accounts Receivable,167.5M,159.16M,158.77M,119.25M,164.07M
Total Accounts Receivable Growth,-,-4.98%,-0.25%,-24.89%,37.59%
"Accounts Receivables, Net",-,159.16M,158.77M,119.25M,164.07M
"Accounts Receivables, Gross",-,159.16M,158.77M,119.25M,164.07M
Bad Debt/Doubtful Accounts,-,-,-,-,-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,27.36,30.19,28.81,42.10,26.41
Inventories,2.72B,1.75B,2.23B,2.26B,2.67B
Finished Goods,-,1.75B,2.23B,2.26B,2.67B
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,-,182.79M,184.52M,157.89M,183.41M
Miscellaneous Current Assets,-,182.79M,184.52M,157.89M,183.41M
Total Current Assets,6.99B,7.67B,7.84B,7.47B,7.05B
"Net Property, Plant & Equipment",5.96B,5.72B,5.82B,5.93B,5.95B
"Property, Plant & Equipment - Gross",-,9.23B,9.41B,9.6B,9.7B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,3.51B,3.59B,3.67B,3.75B
Total Investments and Advances,-,49.21M,49.16M,48.61M,48.63M
Other Long-Term Investments,-,49.21M,49.16M,48.61M,48.63M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,-,-,-,-,-
Net Goodwill,-,-,-,-,-
Net Other Intangibles,-,-,-,-,-
Other Assets,-,199.22M,205.21M,192.67M,191.5M
Total Assets,13.18B,13.64B,13.92B,14.61B,13.23B
Total Assets Growth,-,3.50%,2.01%,5.02%,-9.45%
