Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,564M,742M,513M,1B,621M
Cash & Short Term Investments Growth,-,31.56%,-30.86%,95.71%,-38.15%
Cash Only,564M,742M,513M,1B,621M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,0.34%,0.44%,0.29%,0.59%,0.36%
Total Accounts Receivable,3.09B,3.43B,3.61B,3.74B,3.93B
Total Accounts Receivable Growth,-,11.04%,5.28%,3.55%,5.08%
"Accounts Receivables, Net",3.09B,3.43B,3.61B,3.74B,3.93B
"Accounts Receivables, Gross",3.21B,3.55B,3.73B,3.82B,4.06B
Bad Debt/Doubtful Accounts,(123M),(123M),(122M),(85M),(136M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,1.86,2.03,1.73,1.91,1.70
Inventories,3.02B,2.9B,3.2B,3.17B,3.21B
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,3.02B,2.9B,3.2B,3.17B,3.21B
Progress Payments & Other,-,-,-,-,-
Other Current Assets,2.32B,2.37B,2.62B,3.13B,3.8B
Miscellaneous Current Assets,2.32B,2.37B,2.62B,3.13B,3.8B
Total Current Assets,8.99B,9.44B,9.94B,11.04B,11.56B
"Net Property, Plant & Equipment",110.14B,111.52B,112.67B,113.57B,115.07B
"Property, Plant & Equipment - Gross",159.89B,162.07B,163.23B,165.09B,167.33B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,49.75B,50.54B,50.56B,51.52B,52.25B
Total Investments and Advances,10.83B,10.81B,11.38B,10.82B,9.58B
Other Long-Term Investments,9.89B,9.86B,10.41B,9.84B,8.59B
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,19.3B,19.3B,19.61B,19.3B,19.3B
Net Goodwill,19.3B,19.3B,19.3B,19.3B,19.3B
Net Other Intangibles,-,-,-,-,-
Other Assets,16.14B,15.93B,15.99B,16.49B,16.87B
Total Assets,165.39B,167.01B,174.18B,171.22B,172.38B
Total Assets Growth,-,0.98%,4.29%,-1.70%,0.68%
