Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,1.42B,1.03B,1.25B,1.24B,1.11B
Cash & Short Term Investments Growth,-,-27.52%,21.35%,-0.75%,-9.87%
Cash Only,966.15M,1.03B,1.25B,1.24B,1.11B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,9.31%,7.02%,8.41%,8.14%,7.57%
Total Accounts Receivable,3.19B,3.1B,2.99B,3.3B,3.3B
Total Accounts Receivable Growth,-,-2.74%,-3.50%,10.36%,0.01%
"Accounts Receivables, Net",3.19B,3.1B,2.99B,3.3B,3.3B
"Accounts Receivables, Gross",3.19B,3.1B,2.99B,3.3B,3.3B
Bad Debt/Doubtful Accounts,-,-,-,-,-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,1.12,1.16,1.13,1.16,1.16
Inventories,-,-,-,-,-
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,137.07M,163.93M,133.47M,152.09M,136.59M
Miscellaneous Current Assets,137.07M,163.93M,133.47M,152.09M,136.59M
Total Current Assets,4.74B,4.29B,4.37B,4.69B,4.55B
"Net Property, Plant & Equipment",1.03B,1B,891.76M,883.28M,846.95M
"Property, Plant & Equipment - Gross",-,1.51B,-,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,509.69M,-,-,-
Total Investments and Advances,128.9M,125.3M,106.7M,105.4M,98.5M
Other Long-Term Investments,-,10.2M,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,8.87B,8.76B,8.97B,9.05B,8.8B
Net Goodwill,7.23B,7.2B,7.35B,7.49B,7.33B
Net Other Intangibles,1.64B,-,-,-,-
Other Assets,264.59M,346.25M,361.81M,389.66M,372.25M
Total Assets,15.21B,14.63B,14.8B,15.18B,14.72B
Total Assets Growth,-,-3.79%,1.17%,2.56%,-3.04%
