Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,7.03B,12.05B,4.49B,2.78B,1.9B
Cash & Short Term Investments Growth,-,71.27%,-62.73%,-38.13%,-31.46%
Cash Only,7.03B,12.05B,4.49B,2.78B,1.9B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,10.39%,16.37%,4.72%,3.00%,2.10%
Total Accounts Receivable,6.28B,6.37B,8.95B,8.95B,8.89B
Total Accounts Receivable Growth,-,1.35%,40.53%,0.09%,-0.68%
"Accounts Receivables, Net",6.28B,6.37B,8.95B,8.95B,8.89B
"Accounts Receivables, Gross",6.42B,6.5B,9.1B,9.12B,9.07B
Bad Debt/Doubtful Accounts,(135M),(138M),(150M),(170M),(177M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,1.48,1.47,1.20,1.32,1.23
Inventories,4.63B,4.91B,5.05B,5.48B,5.67B
Finished Goods,2.35B,2.39B,2.45B,2.63B,2.63B
Work in Progress,652M,680M,676M,723M,699M
Raw Materials,1.62B,1.84B,1.92B,2.14B,2.34B
Progress Payments & Other,-,-,-,-,-
Other Current Assets,1.32B,1.41B,1.63B,1.56B,1.64B
Miscellaneous Current Assets,1.32B,1.41B,1.63B,1.56B,1.64B
Total Current Assets,19.26B,24.72B,20.11B,18.78B,18.1B
"Net Property, Plant & Equipment",6.56B,7.05B,9.86B,8.45B,8.53B
"Property, Plant & Equipment - Gross",-,-,14.12B,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,-,4.26B,-,-
Total Investments and Advances,66M,11M,64M,50M,99M
Other Long-Term Investments,66M,11M,64M,50M,99M
Long-Term Note Receivables,8M,-,9M,-,-
Intangible Assets,39.29B,38.84B,62.07B,61.1B,59.64B
Net Goodwill,26.9B,26.91B,41.92B,41.72B,41.07B
Net Other Intangibles,12.39B,11.93B,-,-,-
Other Assets,2.51B,2.98B,3B,4.37B,4.21B
Total Assets,67.7B,73.6B,95.12B,92.75B,90.58B
Total Assets Growth,-,8.72%,29.24%,-2.50%,-2.34%
