Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,7.39B,9.78B,9.74B,9.83B,8.39B
Cash & Short Term Investments Growth,-,32.37%,-0.44%,0.88%,-14.64%
Cash Only,3.65B,5.66B,4.63B,3.51B,3.8B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,35.87%,42.03%,39.47%,38.87%,33.92%
Total Accounts Receivable,1.59B,1.65B,1.7B,1.8B,2.19B
Total Accounts Receivable Growth,-,3.90%,2.90%,5.53%,22.01%
"Accounts Receivables, Net",1.59B,1.65B,1.7B,1.8B,2.19B
"Accounts Receivables, Gross",1.6B,1.66B,1.71B,1.8B,2.2B
Bad Debt/Doubtful Accounts,(9M),(9M),(8M),(9M),(12M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,2.88,2.81,2.84,2.73,2.38
Inventories,1.86B,1.86B,1.91B,2.06B,2.2B
Finished Goods,659M,605M,598M,644M,636M
Work in Progress,996M,1.03B,1.07B,1.15B,1.26B
Raw Materials,201M,224M,245M,265M,305M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,340M,287M,335M,330M,267M
Miscellaneous Current Assets,340M,287M,335M,330M,267M
Total Current Assets,11.18B,13.59B,13.69B,14.01B,13.04B
"Net Property, Plant & Equipment",3.68B,4.02B,5.61B,5.44B,5.93B
"Property, Plant & Equipment - Gross",6.24B,6.66B,8.32B,-,8.83B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,2.56B,2.64B,2.72B,-,2.89B
Total Investments and Advances,71M,73M,62M,50M,39M
Other Long-Term Investments,19M,19M,20M,17M,16M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,4.52B,4.46B,4.45B,4.45B,4.44B
Net Goodwill,4.36B,4.36B,4.36B,4.36B,4.36B
Net Other Intangibles,156M,97M,-,-,-
Other Assets,833M,826M,613M,1.05B,973M
Total Assets,20.6B,23.27B,24.68B,25.28B,24.72B
Total Assets Growth,-,12.96%,6.03%,2.43%,-2.19%
