Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,2.91B,2.74B,2.16B,1.35B,1.09B
Cash & Short Term Investments Growth,-,-5.96%,-21.16%,-37.55%,-19.15%
Cash Only,2.91B,2.74B,2.16B,1.35B,1.09B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,15.85%,15.05%,11.96%,7.65%,6.17%
Total Accounts Receivable,2.53B,2.43B,2.59B,2.6B,2.94B
Total Accounts Receivable Growth,-,-3.94%,6.66%,0.20%,13.21%
"Accounts Receivables, Net",2.53B,2.43B,2.59B,2.6B,2.94B
"Accounts Receivables, Gross",2.53B,2.43B,2.63B,2.6B,2.94B
Bad Debt/Doubtful Accounts,-,-,(39.9M),-,-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,1.51,1.53,1.38,1.29,1.42
Inventories,1.39B,1.48B,1.53B,1.87B,1.89B
Finished Goods,853.4M,913.1M,982.9M,1.19B,1.14B
Work in Progress,200.1M,204.8M,215.9M,270.7M,304.4M
Raw Materials,373.4M,417.2M,404.6M,496.3M,536.6M
Progress Payments & Other,(40.6M),(52.3M),(72.6M),(83.4M),(94.8M)
Other Current Assets,294.3M,337.5M,186.7M,210.3M,205.3M
Miscellaneous Current Assets,294.3M,337.5M,186.7M,210.3M,205.3M
Total Current Assets,7.13B,6.99B,6.47B,6.03B,6.13B
"Net Property, Plant & Equipment",1.32B,1.34B,1.84B,1.42B,1.43B
"Property, Plant & Equipment - Gross",-,-,3.65B,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,648.1M,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,-,1.82B,-,-
Total Investments and Advances,-,-,-,-,-
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,218.5M,231.7M,184.6M
Intangible Assets,8.56B,8.51B,8.81B,8.77B,8.74B
Net Goodwill,5.33B,5.31B,5.5B,5.5B,5.46B
Net Other Intangibles,3.23B,3.2B,-,-,-
Other Assets,1.36B,1.37B,724.4M,1.18B,1.21B
Total Assets,18.37B,18.2B,18.06B,17.64B,17.68B
Total Assets Growth,-,-0.91%,-0.78%,-2.34%,0.25%
