Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,942M,794M,715M,661M,573M
Cash & Short Term Investments Growth,-,-15.71%,-9.95%,-7.55%,-13.31%
Cash Only,942M,794M,715M,661M,573M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,2.31%,1.97%,1.80%,1.66%,1.46%
Total Accounts Receivable,2.31B,2.25B,2.22B,2.46B,2.48B
Total Accounts Receivable Growth,-,-2.64%,-1.56%,11.20%,0.53%
"Accounts Receivables, Net",2.06B,1.98B,1.91B,2.16B,2.18B
"Accounts Receivables, Gross",2.1B,2.02B,1.95B,2.23B,2.24B
Bad Debt/Doubtful Accounts,(42M),(44M),(46M),(69M),(64M)
Other Receivable,252M,275M,-,-,-
Accounts Receivable Turnover,1.34,1.36,1.37,1.31,1.34
Inventories,2.46B,2.4B,2.52B,2.8B,2.99B
Finished Goods,1.32B,1.27B,1.38B,1.48B,1.55B
Work in Progress,304M,280M,287M,311M,381M
Raw Materials,836M,852M,854M,1B,1.07B
Progress Payments & Other,-,-,-,-,-
Other Current Assets,580M,1.69B,1.54B,1.59B,1.69B
Miscellaneous Current Assets,282M,1.39B,1.25B,1.26B,1.34B
Total Current Assets,6.3B,7.13B,6.99B,7.51B,7.73B
"Net Property, Plant & Equipment",5.37B,5.09B,5.16B,5.06B,4.95B
"Property, Plant & Equipment - Gross",6.95B,6.7B,6.95B,6.95B,6.91B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,271M,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,1.58B,1.61B,1.79B,1.89B,1.96B
Total Investments and Advances,1M,1M,87M,86M,84M
Other Long-Term Investments,1M,1M,1M,1M,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,28.7B,27.55B,26.92B,26.55B,25.94B
Net Goodwill,17.25B,16.59B,16.41B,16.3B,16.07B
Net Other Intangibles,11.45B,10.96B,-,-,-
Other Assets,383M,367M,426M,437M,471M
Total Assets,40.86B,40.25B,39.66B,39.75B,39.3B
Total Assets Growth,-,-1.50%,-1.48%,0.22%,-1.11%
