Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,5.63B,5.57B,5.2B,3.22B,5.78B
Cash & Short Term Investments Growth,-,-0.98%,-6.60%,-38.13%,79.68%
Cash Only,5.63B,5.57B,5.2B,3.22B,5.78B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,15.30%,13.48%,11.80%,8.33%,11.94%
Total Accounts Receivable,657.03M,731.31M,857.78M,828.13M,901.54M
Total Accounts Receivable Growth,-,11.30%,17.29%,-3.46%,8.87%
"Accounts Receivables, Net",430.84M,532.3M,583.92M,593.47M,668.92M
"Accounts Receivables, Gross",430.84M,532.3M,712.26M,593.47M,668.92M
Bad Debt/Doubtful Accounts,-,-,(128.35M),-,-
Other Receivable,226.19M,199.01M,-,-,-
Accounts Receivable Turnover,3.45,3.70,3.56,3.45,3.62
Inventories,79.02M,94.2M,96.37M,102.05M,115.1M
Finished Goods,79.02M,94.2M,96.37M,102.05M,115.1M
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,212.26M,273.98M,258.97M,365.55M,2.37B
Miscellaneous Current Assets,212.26M,273.98M,258.97M,365.55M,2.37B
Total Current Assets,6.57B,6.67B,6.42B,4.51B,9.17B
"Net Property, Plant & Equipment",22.55B,26.08B,25.93B,25.58B,29.8B
"Property, Plant & Equipment - Gross",-,-,34.11B,-,34.45B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,-,8.18B,-,4.65B
Total Investments and Advances,1.48B,941.15M,967.04M,1.01B,155.6M
Other Long-Term Investments,155.4M,125.75M,109.23M,116.03M,127.98M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,5.64B,7.15B,7.1B,7.03B,8.3B
Net Goodwill,2.09B,3.48B,3.48B,3.47B,4.71B
Net Other Intangibles,3.55B,3.67B,-,-,-
Other Assets,528.44M,493.33M,490.21M,513.62M,1B
Total Assets,36.78B,41.34B,44.09B,38.65B,48.43B
Total Assets Growth,-,12.40%,6.67%,-12.35%,25.31%
