Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,95.9M,173.2M,94.5M,102.3M,135.1M
Cash & Short Term Investments Growth,-,80.60%,-45.44%,8.25%,32.06%
Cash Only,95.9M,173.2M,94.5M,102.3M,135.1M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,2.20%,3.87%,1.99%,2.06%,2.77%
Total Accounts Receivable,487.6M,516.2M,583.1M,697.2M,536.2M
Total Accounts Receivable Growth,-,5.87%,12.96%,19.57%,-23.09%
"Accounts Receivables, Net",487.6M,516.2M,583.1M,697.2M,536.2M
"Accounts Receivables, Gross",496.9M,526M,592.2M,709.2M,548.5M
Bad Debt/Doubtful Accounts,(9.3M),(9.8M),(9.1M),(12M),(12.3M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,1.93,1.88,1.70,1.43,1.98
Inventories,463.4M,504.6M,562.9M,656.2M,695M
Finished Goods,155.7M,168M,195.2M,206.5M,221.1M
Work in Progress,69.4M,71.2M,77.4M,92.4M,93.3M
Raw Materials,238.3M,265.4M,290.3M,357.3M,380.6M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,60.4M,55.5M,63.5M,86M,96.3M
Miscellaneous Current Assets,3M,3M,6.4M,6.3M,6.2M
Total Current Assets,1.11B,1.25B,1.3B,1.54B,1.46B
"Net Property, Plant & Equipment",376.6M,375.4M,394.5M,396.6M,397.5M
"Property, Plant & Equipment - Gross",1.04B,1.05B,1.05B,1.06B,1.06B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,82.5M,82.8M,66.5M,68.9M,68.8M
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,665.1M,670.4M,655.9M,662.5M,661.6M
Total Investments and Advances,-,-,-,-,-
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,9.7M,39M
Intangible Assets,2.75B,2.73B,2.93B,2.91B,2.86B
Net Goodwill,2.4B,2.39B,2.5B,2.49B,2.45B
Net Other Intangibles,348.4M,339.6M,-,-,-
Other Assets,92.8M,94.5M,99.5M,91.4M,87.6M
Total Assets,4.35B,4.47B,4.75B,4.98B,4.87B
Total Assets Growth,-,2.71%,6.28%,4.68%,-2.08%
