Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,987.39M,919.1M,714.7M,610.78M,519.13M
Cash & Short Term Investments Growth,-,-6.92%,-22.24%,-14.54%,-15.00%
Cash Only,987.39M,919.1M,714.7M,610.78M,519.13M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,7.01%,6.58%,4.98%,3.75%,3.20%
Total Accounts Receivable,1.9B,1.89B,1.8B,2.14B,2.24B
Total Accounts Receivable Growth,-,-0.62%,-4.78%,18.90%,4.57%
"Accounts Receivables, Net",1.9B,1.89B,1.8B,2.14B,2.24B
"Accounts Receivables, Gross",1.94B,1.93B,1.84B,2.19B,2.29B
Bad Debt/Doubtful Accounts,(43.75M),(44.81M),(44.43M),(49.64M),(57.41M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,2.52,2.55,2.67,2.48,2.51
Inventories,3.68B,3.75B,3.89B,4.21B,4.3B
Finished Goods,3.68B,3.75B,3.89B,4.21B,4.3B
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,1.16B,1.23B,1.35B,1.47B,1.48B
Miscellaneous Current Assets,1.16B,1.23B,1.35B,1.47B,1.48B
Total Current Assets,7.72B,7.78B,7.76B,8.43B,8.53B
"Net Property, Plant & Equipment",2.24B,2.15B,2.29B,2.36B,2.3B
"Property, Plant & Equipment - Gross",3.57B,3.46B,3.63B,3.75B,3.67B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,1.34B,1.32B,1.34B,1.39B,1.37B
Total Investments and Advances,148.58M,149.7M,144.62M,80M,71M
Other Long-Term Investments,148.58M,149.7M,144.62M,80M,71M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,3.38B,3.3B,3.32B,4.47B,4.39B
Net Goodwill,1.92B,1.89B,1.92B,2.53B,2.54B
Net Other Intangibles,1.46B,1.41B,-,-,-
Other Assets,543.98M,550.52M,840.44M,931.35M,944.98M
Total Assets,14.09B,13.97B,14.35B,16.27B,16.24B
Total Assets Growth,-,-0.79%,2.70%,13.39%,-0.22%
