Item,31-May-2021,31-Aug-2021,30-Nov-2021,28-Feb-2022,31-May-2022
Cash & Short Term Investments,5.77B,6.16B,5.8B,4.7B,5.3B
Cash & Short Term Investments Growth,-,6.87%,-5.94%,-18.92%,12.72%
Cash Only,4.25B,4.62B,3.84B,2.74B,3.37B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,22.55%,23.58%,21.28%,18.10%,20.13%
Total Accounts Receivable,1.48B,1.55B,1.88B,1.69B,1.59B
Total Accounts Receivable Growth,-,4.60%,21.55%,-10.28%,-5.76%
"Accounts Receivables, Net",1.48B,1.55B,1.88B,1.69B,1.59B
"Accounts Receivables, Gross",1.5B,1.56B,1.89B,1.7B,1.61B
Bad Debt/Doubtful Accounts,(19M),(17M),(16M),(18M),(19M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,2.60,2.55,2.18,2.52,2.74
Inventories,-,-,-,-,-
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,833M,910M,788M,1.09B,1.02B
Miscellaneous Current Assets,833M,910M,788M,1.09B,1.02B
Total Current Assets,8.08B,8.62B,8.46B,7.48B,7.91B
"Net Property, Plant & Equipment",2.03B,2.08B,2.12B,2.14B,2.22B
"Property, Plant & Equipment - Gross",-,-,3.57B,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,-,1.45B,-,-
Total Investments and Advances,-,-,-,-,-
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,13.5B,13.4B,14.49B,14.54B,14.45B
Net Goodwill,11.86B,11.84B,12.67B,12.8B,12.8B
Net Other Intangibles,1.64B,1.56B,-,-,-
Other Assets,805M,859M,1.09B,874M,865M
Total Assets,25.58B,26.14B,27.24B,25.98B,26.33B
Total Assets Growth,-,2.20%,4.20%,-4.64%,1.35%
