Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,3.14B,4.7B,2.82B,4.46B,3.66B
Cash & Short Term Investments Growth,-,49.82%,-39.94%,58.13%,-18.12%
Cash Only,3.14B,4.7B,2.82B,4.46B,3.66B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,3.72%,5.58%,3.46%,5.39%,4.69%
Total Accounts Receivable,4.52B,4.53B,4.83B,4.95B,4.88B
Total Accounts Receivable Growth,-,0.40%,6.53%,2.40%,-1.29%
"Accounts Receivables, Net",4.52B,4.53B,4.63B,4.95B,4.88B
"Accounts Receivables, Gross",4.52B,4.53B,5.04B,5.34B,4.88B
Bad Debt/Doubtful Accounts,-,-,(405M),(399M),-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,1.68,1.69,1.72,1.66,1.73
Inventories,1.69B,1.69B,1.73B,1.77B,1.79B
Finished Goods,965M,946M,1B,1.01B,1.01B
Work in Progress,358M,357M,334M,318M,321M
Raw Materials,369M,391M,399M,440M,460M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,1.1B,1.08B,774M,1.08B,950M
Miscellaneous Current Assets,1.1B,1.08B,247M,1.08B,950M
Total Current Assets,10.45B,12.01B,10.16B,12.26B,11.27B
"Net Property, Plant & Equipment",26.92B,26.18B,27.02B,25.6B,23.99B
"Property, Plant & Equipment - Gross",-,-,49.47B,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,-,22.45B,-,-
Total Investments and Advances,-,-,2.67B,18M,72M
Other Long-Term Investments,-,-,53M,18M,72M
Long-Term Note Receivables,-,-,105M,-,-
Intangible Assets,42.11B,41.23B,40.84B,40.33B,38.31B
Net Goodwill,27.62B,27.18B,27.04B,26.82B,25.68B
Net Other Intangibles,14.49B,14.05B,-,-,-
Other Assets,4.87B,4.78B,568M,4.57B,4.24B
Total Assets,84.35B,84.19B,81.61B,82.77B,77.89B
Total Assets Growth,-,-0.18%,-3.07%,1.42%,-5.90%
