Item,30-Apr-2021,31-Jul-2021,31-Oct-2021,31-Jan-2022,30-Apr-2022
Cash & Short Term Investments,4.76B,5.65B,4.33B,4.28B,3.55B
Cash & Short Term Investments Growth,-,18.84%,-23.35%,-1.29%,-17.03%
Cash Only,4.76B,5.65B,4.33B,4.28B,3.55B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,8.79%,10.01%,7.51%,7.39%,6.30%
Total Accounts Receivable,6.78B,7.11B,7.91B,7.25B,6.78B
Total Accounts Receivable Growth,-,4.87%,11.25%,-8.39%,-6.49%
"Accounts Receivables, Net",6.78B,7.11B,7.91B,7.25B,6.78B
"Accounts Receivables, Gross",7.05B,7.39B,8.16B,7.5B,7.14B
Bad Debt/Doubtful Accounts,(270M),(276M),(251M),(248M),(358M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,0.99,0.97,0.93,0.95,0.98
Inventories,3.12B,3.94B,4.51B,5.32B,5.32B
Finished Goods,1.3B,1.37B,1.68B,1.83B,2.02B
Work in Progress,-,-,-,-,-
Raw Materials,1.82B,2.57B,2.83B,3.5B,3.3B
Progress Payments & Other,-,-,-,-,-
Other Current Assets,1.99B,1.98B,2.06B,2.43B,2.46B
Miscellaneous Current Assets,1.99B,1.98B,2.06B,2.43B,2.46B
Total Current Assets,16.65B,18.69B,18.81B,19.28B,18.1B
"Net Property, Plant & Equipment",5.48B,5.51B,6.5B,5.5B,5.51B
"Property, Plant & Equipment - Gross",11.59B,11.63B,12.45B,11.37B,11.15B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,6.11B,6.12B,5.95B,5.87B,5.64B
Total Investments and Advances,2.69B,2.77B,2.67B,2.58B,2.63B
Other Long-Term Investments,482M,482M,458M,326M,364M
Long-Term Note Receivables,5.07B,4.96B,5.04B,4.94B,4.68B
Intangible Assets,18.97B,18.98B,19.33B,19.26B,19.18B
Net Goodwill,18.02B,18.09B,18.31B,18.3B,18.31B
Net Other Intangibles,950M,892M,-,-,-
Other Assets,3.38B,3.51B,3.33B,4.36B,4.25B
Total Assets,54.13B,56.44B,57.7B,57.87B,56.32B
Total Assets Growth,-,4.26%,2.24%,0.30%,-2.68%
