Item,31-May-2021,31-Aug-2021,30-Nov-2021,28-Feb-2022,31-May-2022
Cash & Short Term Investments,927.53M,628.66M,615.09M,650.82M,626.66M
Cash & Short Term Investments Growth,-,-32.22%,-2.16%,5.81%,-3.71%
Cash Only,927.53M,628.66M,615.09M,650.82M,626.66M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,4.06%,2.57%,2.41%,2.44%,2.38%
Total Accounts Receivable,413.22M,517.26M,563.14M,560.98M,610.59M
Total Accounts Receivable Growth,-,25.18%,8.87%,-0.38%,8.84%
"Accounts Receivables, Net",413.22M,517.26M,563.14M,560.98M,610.59M
"Accounts Receivables, Gross",413.22M,517.26M,563.14M,560.98M,610.59M
Bad Debt/Doubtful Accounts,-,-,-,-,-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,18.63,15.44,15.14,13.70,15.25
Inventories,3.25B,4.11B,4.66B,5.12B,4.69B
Finished Goods,3.25B,4.11B,4.66B,5.12B,4.69B
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,101.01M,119.92M,117.39M,212.92M,189.64M
Miscellaneous Current Assets,101.01M,119.92M,117.39M,212.92M,189.64M
Total Current Assets,4.69B,5.37B,5.96B,6.55B,6.12B
"Net Property, Plant & Equipment",3.53B,3.68B,3.72B,3.75B,3.79B
"Property, Plant & Equipment - Gross",4.98B,5.18B,5.26B,5.18B,5.29B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,246.62M,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,1.45B,1.5B,1.54B,1.44B,1.49B
Total Investments and Advances,144.49M,146.9M,149.48M,214.3M,153.92M
Other Long-Term Investments,144.49M,146.9M,149.48M,214.3M,153.92M
Long-Term Note Receivables,14.16B,14.66B,15.17B,15.29B,15.67B
Intangible Assets,-,150.34M,141.26M,141.26M,141.26M
Net Goodwill,-,150.34M,141.26M,141.26M,141.26M
Net Other Intangibles,-,-,-,-,-
Other Assets,170.24M,328.7M,308.64M,276.36M,369.67M
Total Assets,22.83B,24.45B,25.58B,26.67B,26.34B
Total Assets Growth,-,7.10%,4.59%,4.29%,-1.25%
