Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,337.2M,380.7M,369.4M,356.7M,372.2M
Cash & Short Term Investments Growth,-,12.90%,-2.97%,-3.44%,4.35%
Cash Only,337.2M,380.7M,369.4M,356.7M,372.2M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,4.95%,4.23%,5.15%,3.23%,4.10%
Total Accounts Receivable,179.5M,181.7M,208.8M,144.5M,151.5M
Total Accounts Receivable Growth,-,1.23%,14.91%,-30.80%,4.84%
"Accounts Receivables, Net",179.5M,181.7M,184.9M,144.5M,151.5M
"Accounts Receivables, Gross",179.5M,181.7M,188.8M,144.5M,151.5M
Bad Debt/Doubtful Accounts,-,-,(3.9M),-,-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,1.39,1.42,1.35,2.03,1.99
Inventories,-,-,-,-,-
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,3.24B,5.4B,3.57B,7.48B,5.51B
Miscellaneous Current Assets,3.24B,5.4B,3.57B,7.48B,5.51B
Total Current Assets,3.76B,5.96B,4.14B,7.98B,6.04B
"Net Property, Plant & Equipment",179.8M,174.7M,157.6M,163M,172.1M
"Property, Plant & Equipment - Gross",-,-,540.2M,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,357.2M,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,-,382.6M,-,-
Total Investments and Advances,-,-,-,-,-
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,2.67B,2.65B,2.66B,2.67B,2.61B
Net Goodwill,2.33B,2.32B,2.32B,2.34B,2.3B
Net Other Intangibles,341.2M,332.4M,-,-,-
Other Assets,200.8M,212.7M,208.4M,251.6M,258M
Total Assets,6.81B,9B,7.17B,11.06B,9.08B
Total Assets Growth,-,32.24%,-20.39%,54.33%,-17.88%
