Item,30-Apr-2021,31-Jul-2021,31-Oct-2021,31-Jan-2022,30-Apr-2022
Cash & Short Term Investments,3.44B,3.45B,4.3B,3.4B,4.48B
Cash & Short Term Investments Growth,-,0.32%,24.86%,-21.03%,31.86%
Cash Only,3.42B,3.44B,4.3B,3.39B,4.48B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,9.95%,9.70%,11.15%,8.74%,11.23%
Total Accounts Receivable,7.86B,7.96B,8.85B,8.68B,8.26B
Total Accounts Receivable Growth,-,1.22%,11.17%,-1.97%,-4.84%
"Accounts Receivables, Net",4.99B,4.91B,5.51B,5.18B,5.41B
"Accounts Receivables, Gross",5.12B,5.03B,5.62B,5.28B,5.52B
Bad Debt/Doubtful Accounts,(133M),(117M),(111M),(103M),(118M)
Other Receivable,2.87B,3.05B,-,-,-
Accounts Receivable Turnover,2.04,1.93,1.88,1.96,1.98
Inventories,7.5B,8.17B,7.93B,9.02B,8.94B
Finished Goods,3.7B,4.19B,4.53B,5.7B,5.32B
Work in Progress,-,-,-,-,-
Raw Materials,3.81B,3.98B,3.4B,3.32B,3.62B
Progress Payments & Other,-,-,-,-,-
Other Current Assets,1.29B,1.03B,1.02B,1.34B,1.83B
Miscellaneous Current Assets,1.29B,1.03B,1.02B,1.34B,1.83B
Total Current Assets,20.09B,20.6B,22.11B,22.43B,23.52B
"Net Property, Plant & Equipment",3.61B,3.61B,3.74B,3.79B,3.71B
"Property, Plant & Equipment - Gross",8.52B,8.54B,8.67B,8.75B,8.7B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,4.9B,4.93B,4.93B,4.96B,4.99B
Total Investments and Advances,57M,87M,803M,819M,879M
Other Long-Term Investments,57M,87M,803M,819M,879M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,7.1B,7.37B,7.59B,7.54B,7.45B
Net Goodwill,6.52B,6.63B,6.8B,6.82B,6.8B
Net Other Intangibles,572M,741M,-,-,-
Other Assets,1.23B,1.27B,1.46B,1.45B,1.53B
Total Assets,34.55B,35.52B,38.61B,38.91B,39.9B
Total Assets Growth,-,2.82%,8.69%,0.78%,2.54%
