Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,11.07B,9.99B,9.25B,6.53B,6.01B
Cash & Short Term Investments Growth,-,-9.71%,-7.39%,-29.48%,-7.85%
Cash Only,11.07B,9.99B,9.25B,6.53B,6.01B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,13.55%,12.37%,11.18%,7.93%,7.41%
Total Accounts Receivable,17.19B,16.42B,17.13B,18.14B,17.32B
Total Accounts Receivable Growth,-,-4.51%,4.35%,5.87%,-4.54%
"Accounts Receivables, Net",17.19B,16.42B,17.13B,18.14B,17.32B
"Accounts Receivables, Gross",17.19B,16.42B,17.13B,18.14B,17.32B
Bad Debt/Doubtful Accounts,-,-,-,-,-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,0.75,0.75,0.80,0.75,0.82
Inventories,12.67B,13.67B,14.04B,15.04B,15.88B
Finished Goods,6.41B,6.71B,6.91B,7.39B,7.85B
Work in Progress,1.39B,1.52B,1.32B,1.44B,1.6B
Raw Materials,4.88B,5.44B,5.81B,6.21B,6.43B
Progress Payments & Other,-,-,-,-,-
Other Current Assets,2.01B,1.82B,3.03B,2.87B,2.77B
Miscellaneous Current Assets,2.01B,1.82B,3.03B,2.87B,2.77B
Total Current Assets,42.95B,41.89B,43.46B,42.57B,41.98B
"Net Property, Plant & Equipment",12.01B,11.9B,12.72B,11.93B,11.74B
"Property, Plant & Equipment - Gross",-,-,29.5B,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,1.7B,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,-,16.78B,-,-
Total Investments and Advances,2.5B,2.55B,1.79B,3.31B,3.51B
Other Long-Term Investments,1.8B,1.84B,1.79B,2.71B,2.78B
Long-Term Note Receivables,13.64B,13.69B,13.81B,13.87B,13.57B
Intangible Assets,7.55B,7.47B,7.37B,7.26B,7.08B
Net Goodwill,6.37B,6.35B,6.32B,6.29B,6.2B
Net Other Intangibles,1.18B,1.12B,-,-,-
Other Assets,1.6B,1.52B,1.81B,1.37B,1.1B
Total Assets,81.7B,80.78B,82.79B,82.28B,81.11B
Total Assets Growth,-,-1.12%,2.49%,-0.62%,-1.42%
