Item,31-May-2021,31-Aug-2021,30-Nov-2021,28-Feb-2022,31-May-2022
Cash & Short Term Investments,7.09B,6.85B,6.83B,6.07B,6.9B
Cash & Short Term Investments Growth,-,-3.30%,-0.29%,-11.24%,13.72%
Cash Only,7.09B,6.85B,6.83B,6.07B,6.9B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,8.56%,8.35%,8.11%,7.21%,8.02%
Total Accounts Receivable,12.64B,11.64B,12.88B,12.26B,12.49B
Total Accounts Receivable Growth,-,-7.93%,10.66%,-4.82%,1.85%
"Accounts Receivables, Net",12.64B,11.64B,12.88B,12.26B,12.49B
"Accounts Receivables, Gross",13.38B,12.43B,13.67B,13.05B,13.18B
Bad Debt/Doubtful Accounts,(742M),(790M),(792M),(793M),(692M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,1.79,1.88,1.82,1.93,1.95
Inventories,587M,577M,594M,611M,637M
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,587M,577M,594M,611M,637M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,265M,477M,440M,531M,345M
Miscellaneous Current Assets,265M,477M,440M,531M,345M
Total Current Assets,20.58B,19.55B,20.75B,19.47B,20.37B
"Net Property, Plant & Equipment",51.14B,51.9B,53.17B,53.98B,54.7B
"Property, Plant & Equipment - Gross",85.46B,86.96B,88.99B,90.75B,91.89B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,7.49B,-,-,-,8.1B
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,34.33B,35.06B,35.82B,36.77B,37.18B
Total Investments and Advances,-,-,-,-,-
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,6.99B,6.84B,6.7B,6.76B,6.54B
Net Goodwill,6.99B,6.84B,6.7B,6.76B,6.54B
Net Other Intangibles,-,-,-,-,-
Other Assets,2.65B,3.76B,3.63B,3.91B,3.17B
Total Assets,82.78B,82.05B,84.25B,84.11B,85.99B
Total Assets Growth,-,-0.88%,2.68%,-0.16%,2.24%
