Item,31-May-2021,31-Aug-2021,30-Nov-2021,28-Feb-2022,31-May-2022
Cash & Short Term Investments,1.21B,999.3M,797.8M,606.8M,472.1M
Cash & Short Term Investments Growth,-,-17.73%,-20.16%,-23.94%,-22.20%
Cash Only,1.21B,999.3M,797.8M,606.8M,472.1M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,9.94%,9.48%,7.67%,5.95%,4.04%
Total Accounts Receivable,68.2M,67.6M,69.1M,52.6M,72M
Total Accounts Receivable Growth,-,-0.88%,2.22%,-23.88%,36.88%
"Accounts Receivables, Net",37.7M,51.9M,68.1M,52.1M,39.2M
"Accounts Receivables, Gross",37.9M,51.9M,68.1M,52.1M,39.5M
Bad Debt/Doubtful Accounts,(200K),-,-,-,(300K)
Other Receivable,30.5M,15.7M,-,-,-
Accounts Receivable Turnover,33.42,34.11,32.88,46.56,36.15
Inventories,190.8M,210.9M,230.2M,243.7M,270.6M
Finished Goods,190.8M,210.9M,230.2M,243.7M,270.6M
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,397.4M,380.2M,417.1M,377M,364.7M
Miscellaneous Current Assets,60.2M,77M,79.5M,78.9M,89.9M
Total Current Assets,1.87B,1.66B,1.51B,1.28B,1.18B
"Net Property, Plant & Equipment",6.65B,6.73B,6.74B,6.78B,6.82B
"Property, Plant & Equipment - Gross",9.49B,9.64B,9.72B,9.84B,9.96B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,2.84B,2.91B,2.98B,3.06B,3.14B
Total Investments and Advances,-,-,-,-,-
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,1.91B,1.84B,1.84B,1.84B,1.92B
Net Goodwill,1.04B,1.04B,1.04B,1.04B,1.04B
Net Other Intangibles,873.2M,806.3M,-,-,-
Other Assets,228.8M,306.6M,304.9M,296.7M,218.8M
Total Assets,12.22B,10.54B,10.4B,10.21B,11.67B
Total Assets Growth,-,-13.75%,-1.31%,-1.90%,14.38%
