Item,31-May-2021,31-Aug-2021,30-Nov-2021,28-Feb-2022,31-May-2022
Cash & Short Term Investments,1.88B,710.6M,1.02B,844.4M,847.9M
Cash & Short Term Investments Growth,-,-62.15%,43.68%,-17.30%,0.41%
Cash Only,1.51B,710.6M,1.02B,844.4M,569.4M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,5.80%,2.20%,3.14%,2.71%,2.69%
Total Accounts Receivable,1.82B,1.69B,1.77B,1.75B,1.96B
Total Accounts Receivable Growth,-,-6.80%,4.40%,-0.89%,12.03%
"Accounts Receivables, Net",1.64B,1.69B,1.77B,1.75B,1.69B
"Accounts Receivables, Gross",1.67B,1.69B,1.77B,1.75B,1.72B
Bad Debt/Doubtful Accounts,(36M),-,-,-,(28.3M)
Other Receivable,176.6M,-,-,-,-
Accounts Receivable Turnover,2.49,2.68,2.84,2.59,2.49
Inventories,1.82B,1.94B,1.8B,1.71B,1.87B
Finished Goods,1.51B,1.64B,1.46B,1.41B,1.63B
Work in Progress,-,-,-,-,-
Raw Materials,523.1M,553.1M,628.5M,626.7M,696M
Progress Payments & Other,(209.5M),(258.4M),(288.6M),(325.2M),(463.4M)
Other Current Assets,241.7M,1.98B,2.03B,723.8M,413.6M
Miscellaneous Current Assets,20M,1.98B,2.03B,723.8M,200.1M
Total Current Assets,5.75B,6.32B,6.61B,5.03B,5.09B
"Net Property, Plant & Equipment",3.99B,3.34B,3.29B,3.29B,3.73B
"Property, Plant & Equipment - Gross",10.84B,-,-,-,10.55B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,718.5M,-,-,-,717.8M
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,6.86B,-,-,-,6.82B
Total Investments and Advances,566.4M,-,-,-,513.8M
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,21.21B,21.38B,21.34B,21.56B,21.38B
Net Goodwill,14.06B,14.55B,14.52B,14.55B,14.38B
Net Other Intangibles,7.15B,6.83B,-,-,-
Other Assets,322.6M,1.29B,1.24B,1.27B,377.5M
Total Assets,32.34B,32.33B,32.48B,31.14B,31.49B
Total Assets Growth,-,-0.02%,0.46%,-4.12%,1.11%
