Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Total Cash & Due from Banks,24.81B,28.64B,29.55B,26.22B,14.5B
Cash & Due from Banks Growth,-,15.44%,3.16%,-11.26%,-44.71%
Investments - Total,16.87B,19.4B,22.82B,27.24B,27.39B
Investments Growth,-,14.97%,17.62%,19.39%,0.54%
Trading Account Securities,-,-,-,-,-
Federal Funds Sold & Securities Purchased,-,-,-,-,-
Federal Funds Sold,-,-,-,-,-
Securities Bought Under Resale Agreement,-,-,-,-,-
Treasury Securities,-,-,-,-,-
Federal Agency Securities,-,-,-,-,-
State & Municipal Securities,-,-,-,-,-
Mortgage Backed Securities,-,-,-,-,-
Other Securities,-,-,-,-,-
Other Investments,913.3M,1.25B,645.58M,978.92M,1.06B
Net Loans,53.99B,58.09B,64.39B,65.94B,71.56B
Gross Loans - Net of Unearned Income,54.51B,58.59B,-,-,-
Commercial & Industrial Loans,26.42B,30.52B,36.1B,37.39B,41.74B
Consumer & Installment Loans,5.89M,6.47M,7.51M,6.51M,6.5M
Real Estate Mortgage Loans,28.16B,28.14B,28.83B,29.07B,30.33B
Lease Financing Loans,-,-,-,-,-
Foreign Loans,-,-,-,-,-
Broker & Financial Institution Loans,-,-,-,-,-
Unspecified/Other Loans,-,-,-,-,-
Unearned Income,(80.1M),(77.94M),(76.59M),(70.09M),(67.25M)
Loan Loss Allowances (Reserves),(514.79M),(500.86M),(474.39M),(461.28M),(445.97M)
Customer Liability on Acceptances,-,-,-,-,-
Loans - 1 Yr Growth Rate,-,7.58%,10.85%,2.41%,8.51%
Loans (Total) / Total Deposits,-,-,-,-,-
Loans (Total) / Total Assets,-,-,-,-,-
"Net Property, Plant & Equipment",313.53M,311.43M,318.22M,331.13M,364.45M
Other Assets (Including Intangibles),585.87M,1.08B,890.41M,1.77B,1.8B
Other Assets,585.87M,1.08B,890.41M,1.77B,1.8B
Intangible Assets,-,-,-,-,-
Interest Receivables,307.7M,312.15M,306.83M,337.61M,349.19M
Total Assets,96.89B,107.85B,118.68B,121.85B,115.97B
Assets - Total Growth,-,11.32%,10.04%,2.67%,-4.83%
Return On Average Assets,-,-,-,-,0.95%
