Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,2.99B,3.04B,3.31B,4.02B,3.84B
Cash & Short Term Investments Growth,-,1.47%,8.92%,21.55%,-4.50%
Cash Only,1.37B,1.41B,1.73B,2.26B,1.67B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,32.58%,32.04%,30.64%,36.58%,34.59%
Total Accounts Receivable,781M,776M,1.39B,824M,853M
Total Accounts Receivable Growth,-,-0.64%,79.12%,-40.72%,3.52%
"Accounts Receivables, Net",781M,776M,1.39B,824M,853M
"Accounts Receivables, Gross",781M,776M,1.39B,824M,853M
Bad Debt/Doubtful Accounts,-,-,-,-,-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,1.80,1.95,1.16,2.09,2.05
Inventories,-,-,-,-,-
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,196M,207M,219M,275M,316M
Miscellaneous Current Assets,196M,207M,219M,275M,316M
Total Current Assets,3.97B,4.02B,4.92B,5.12B,5.01B
"Net Property, Plant & Equipment",1.2B,1.35B,1.36B,1.38B,1.48B
"Property, Plant & Equipment - Gross",1.91B,2.11B,2.18B,2.26B,2.38B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,1.18B,1.23B,1.59B,1.39B,1.48B
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,714M,766M,825M,875M,901M
Total Investments and Advances,1.39B,1.45B,1.73B,1.68B,1.84B
Other Long-Term Investments,1.35B,1.38B,1.63B,1.48B,1.61B
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,1.1B,1.07B,1.06B,1.04B,1.06B
Net Goodwill,793M,770M,777M,774M,803M
Net Other Intangibles,310M,302M,-,-,-
Other Assets,857M,898M,1.04B,1.09B,1.07B
Total Assets,9.19B,9.48B,10.8B,10.99B,11.1B
Total Assets Growth,-,3.17%,13.93%,1.81%,0.99%
