Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,6.72B,6.97B,7.53B,8.24B,9.26B
Cash & Short Term Investments Growth,-,3.72%,8.11%,9.47%,12.32%
Cash Only,6.07B,6.28B,6.8B,7.61B,8.71B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,54.95%,55.20%,56.06%,57.82%,59.42%
Total Accounts Receivable,929.14M,1.1B,1.14B,1.29B,1.33B
Total Accounts Receivable Growth,-,18.43%,3.31%,13.72%,3.10%
"Accounts Receivables, Net",929.14M,1.1B,1.14B,1.29B,1.33B
"Accounts Receivables, Gross",929.14M,1.1B,1.14B,1.29B,1.33B
Bad Debt/Doubtful Accounts,-,-,-,-,-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,1.95,1.81,1.81,1.61,1.61
Inventories,321.62M,333.46M,353.1M,338.9M,367.7M
Finished Goods,91.23M,94.82M,86.7M,90.9M,100.7M
Work in Progress,182.66M,192.65M,224M,205.8M,236.6M
Raw Materials,47.74M,45.99M,42.4M,42.2M,30.4M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,491.37M,453.31M,540.7M,486.4M,544.4M
Miscellaneous Current Assets,491.37M,453.31M,540.7M,486.4M,544.4M
Total Current Assets,8.46B,8.85B,9.56B,10.36B,11.5B
"Net Property, Plant & Equipment",1.34B,1.35B,1.42B,1.44B,1.42B
"Property, Plant & Equipment - Gross",-,-,2.32B,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,293.7M,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,-,896M,-,-
Total Investments and Advances,20.8M,35.9M,85.8M,86.7M,102.7M
Other Long-Term Investments,20.8M,35.9M,85.8M,86.7M,102.7M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,1.4B,1.4B,1.4B,1.4B,1.39B
Net Goodwill,1B,1B,1B,1B,1B
Net Other Intangibles,400M,400M,-,-,-
Other Assets,50.3M,39.62M,25M,24M,24.6M
Total Assets,12.22B,12.62B,13.43B,14.26B,15.58B
Total Assets Growth,-,3.25%,6.45%,6.13%,9.30%
