Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,12.32B,12.14B,11.52B,9.77B,8.66B
Cash & Short Term Investments Growth,-,-1.48%,-5.05%,-15.18%,-11.41%
Cash Only,11.43B,11.09B,10.96B,9.28B,8.25B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,19.26%,18.91%,17.87%,15.43%,13.91%
Total Accounts Receivable,7.12B,7.38B,7.01B,7.3B,7.78B
Total Accounts Receivable Growth,-,3.61%,-4.99%,4.12%,6.56%
"Accounts Receivables, Net",6.95B,7.24B,6.83B,7.12B,7.74B
"Accounts Receivables, Gross",7.15B,7.43B,7.01B,7.45B,8.12B
Bad Debt/Doubtful Accounts,(203M),(188M),(177M),(326M),(378M)
Other Receivable,175M,140M,-,-,-
Accounts Receivable Turnover,1.24,1.15,1.23,1.15,1.15
Inventories,4.72B,4.97B,5.14B,5.47B,5.58B
Finished Goods,2.71B,2.82B,2.93B,2.96B,3.07B
Work in Progress,801M,848M,861M,958M,1B
Raw Materials,1.21B,1.3B,1.35B,1.56B,1.51B
Progress Payments & Other,-,-,-,-,-
Other Current Assets,1.49B,1.55B,1.7B,1.74B,1.83B
Miscellaneous Current Assets,1.49B,1.55B,1.7B,1.74B,1.83B
Total Current Assets,25.65B,26.03B,25.37B,24.28B,23.85B
"Net Property, Plant & Equipment",6.44B,6.45B,6.51B,6.43B,6.25B
"Property, Plant & Equipment - Gross",-,-,15.4B,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,-,8.89B,-,-
Total Investments and Advances,1.17B,1.07B,1.05B,883M,641M
Other Long-Term Investments,1.17B,1.07B,1.05B,883M,641M
Long-Term Note Receivables,528M,170M,170M,152M,156M
Intangible Assets,20.88B,20.6B,21.37B,21.4B,20.91B
Net Goodwill,17.14B,16.96B,17.76B,17.86B,17.53B
Net Other Intangibles,3.75B,3.64B,-,-,-
Other Assets,8.51B,9.11B,9.51B,9.71B,9.96B
Total Assets,63.95B,64.19B,64.47B,63.35B,62.26B
Total Assets Growth,-,0.38%,0.43%,-1.73%,-1.73%
