Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,549.8M,290.9M,291.3M,360.2M,305.4M
Cash & Short Term Investments Growth,-,-47.09%,0.14%,23.65%,-15.21%
Cash Only,549.8M,290.9M,291.3M,360.2M,305.4M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,1.87%,0.99%,1.00%,1.23%,1.06%
Total Accounts Receivable,2.71B,2.79B,2.74B,3.07B,3.05B
Total Accounts Receivable Growth,-,2.73%,-1.69%,12.22%,-0.62%
"Accounts Receivables, Net",2.71B,2.79B,2.74B,3.07B,3.05B
"Accounts Receivables, Gross",2.78B,2.85B,2.81B,3.15B,3.13B
Bad Debt/Doubtful Accounts,(69.6M),(68.1M),(67.3M),(73.8M),(73.3M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,1.78,1.83,1.81,1.75,1.81
Inventories,2.15B,2.17B,2.24B,2.23B,2.3B
Finished Goods,944.6M,972.7M,1.04B,1.05B,1.07B
Work in Progress,-,-,-,-,-
Raw Materials,1.37B,1.42B,1.49B,1.5B,1.61B
Progress Payments & Other,(170.1M),(223.9M),(289.4M),(320.3M),(385.4M)
Other Current Assets,316.3M,409.4M,296.3M,318.6M,344.4M
Miscellaneous Current Assets,316.3M,409.4M,296.3M,318.6M,344.4M
Total Current Assets,5.72B,5.66B,5.57B,5.99B,6B
"Net Property, Plant & Equipment",11.33B,11.25B,11.15B,10.9B,10.74B
"Property, Plant & Equipment - Gross",19.28B,19.4B,19.55B,19.89B,19.96B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,7.95B,8.15B,8.4B,8.99B,9.22B
Total Investments and Advances,1.26B,1.26B,1.26B,1.26B,1.25B
Other Long-Term Investments,1.26B,1.26B,1.26B,1.26B,1.25B
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,9.4B,9.28B,9.19B,9.11B,8.96B
Net Goodwill,5.98B,5.96B,5.96B,5.97B,5.93B
Net Other Intangibles,3.42B,3.32B,-,-,-
Other Assets,1.7B,1.81B,1.92B,1.95B,1.93B
Total Assets,29.41B,29.25B,29.08B,29.21B,28.89B
Total Assets Growth,-,-0.54%,-0.59%,0.42%,-1.10%
