Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Net Income before Extraordinaries,208M,426M,126M,253M,209M
Net Income Growth,-,104.81%,-70.42%,100.79%,-17.39%
"Depreciation, Depletion & Amortization",321M,324M,337M,346M,347M
Depreciation and Depletion,-,-,-,-,-
Amortization of Intangible Assets,-,-,-,-,-
Deferred Taxes & Investment Tax Credit,33M,80M,17M,31M,35M
Deferred Taxes,33M,80M,17M,31M,35M
Investment Tax Credit,-,-,-,-,-
Other Funds,(4M),7M,6M,11M,27M
Funds from Operations,558M,837M,486M,641M,618M
Extraordinaries,-,-,-,-,-
Changes in Working Capital,(87M),(81M),(17M),(253M),(134M)
Receivables,(87M),(120M),138M,(117M),(70M)
Accounts Payable,44M,65M,171M,(235M),148M
Other Assets/Liabilities,(29M),(2M),(181M),(20M),(179M)
Net Operating Cash Flow,471M,756M,469M,388M,484M
Net Operating Cash Flow Growth,-,60.51%,-37.96%,-17.27%,24.74%
Net Operating Cash Flow / Sales,32.00%,41.74%,30.36%,20.65%,28.04%
Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Capital Expenditures,(879M),(865M),(891M),(790M),(770M)
Capital Expenditures Growth,-,1.59%,-3.01%,11.34%,2.53%
Capital Expenditures / Sales,-59.71%,-47.76%,-57.67%,-42.04%,-44.61%
Capital Expenditures (Fixed Assets),(879M),(865M),(891M),(790M),(770M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,-,-,-,-,-
Sale of Fixed Assets & Businesses,-,-,-,-,-
Purchase/Sale of Investments,7M,(12M),(6M),(5M),(3M)
Purchase of Investments,(51M),(208M),(41M),(97M),(25M)
Sale/Maturity of Investments,58M,196M,35M,92M,22M
Other Uses,-,(7M),7M,-,-
Other Sources,-,-,-,-,-
Net Investing Cash Flow,(871M),(886M),(882M),(780M),(772M)
Net Investing Cash Flow Growth,-,-1.72%,0.45%,11.56%,1.03%
Net Investing Cash Flow / Sales,-59.17%,-48.92%,-57.09%,-41.51%,-44.73%
