Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Net Income before Extraordinaries,2.68B,2.33B,3.09B,2.66B,2.85B
Net Income Growth,-,-12.97%,32.80%,-13.93%,7.02%
"Depreciation, Depletion & Amortization",739M,738M,754M,764M,762M
Depreciation and Depletion,-,-,-,-,-
Amortization of Intangible Assets,-,-,-,-,-
Deferred Taxes & Investment Tax Credit,185M,144M,374M,209M,151M
Deferred Taxes,185M,144M,374M,209M,151M
Investment Tax Credit,-,-,-,-,-
Other Funds,399M,332M,293M,541M,509M
Funds from Operations,4B,3.54B,4.51B,4.18B,4.27B
Extraordinaries,-,-,-,-,-
Changes in Working Capital,(76M),(236M),(1.27B),304M,(458M)
Receivables,4M,(460M),(2.13B),1.23B,(407M)
Accounts Payable,317M,(36M),1.25B,(743M),235M
Other Assets/Liabilities,(425M),181M,164M,163M,(281M)
Net Operating Cash Flow,3.92B,3.31B,3.25B,4.48B,3.81B
Net Operating Cash Flow Growth,-,-15.70%,-1.84%,38.02%,-14.89%
Net Operating Cash Flow / Sales,16.75%,14.28%,11.70%,18.41%,15.44%
Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Capital Expenditures,(836M),(900M),(1.62B),(548M),(840M)
Capital Expenditures Growth,-,-7.66%,-80.44%,66.26%,-53.28%
Capital Expenditures / Sales,-3.57%,-3.89%,-5.86%,-2.25%,-3.40%
Capital Expenditures (Fixed Assets),(836M),(900M),(1.62B),(548M),(840M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,(2M),(7M),(590M),-,(99M)
Sale of Fixed Assets & Businesses,853M,7M,2M,1M,8M
Purchase/Sale of Investments,17M,(13M),(6M),(8M),6M
Purchase of Investments,(63M),(56M),(115M),(68M),(64M)
Sale/Maturity of Investments,80M,43M,109M,60M,70M
Other Uses,(5M),11M,-,(22M),(4M)
Other Sources,-,-,-,-,-
Net Investing Cash Flow,32M,(866M),(2.22B),(572M),(927M)
Net Investing Cash Flow Growth,-,"-2,806.25%",-156.12%,74.21%,-62.06%
Net Investing Cash Flow / Sales,0.14%,-3.74%,-8.00%,-2.35%,-3.75%
