Item,01-Jan-0001,31-Jul-2021,31-Oct-2021,31-Jan-2022,30-Apr-2022
Net Income before Extraordinaries,1.61B,1.72B,1.71B,1.79B,1.54B
Net Income Growth,-,6.85%,-0.23%,4.67%,-14.29%
"Depreciation, Depletion & Amortization",108M,98M,105M,102M,111M
Depreciation and Depletion,-,87M,93M,92M,102M
Amortization of Intangible Assets,-,11M,12M,10M,9M
Deferred Taxes & Investment Tax Credit,47M,20M,36M,1M,(257M)
Deferred Taxes,-,20M,36M,1M,(257M)
Investment Tax Credit,-,-,-,-,-
Other Funds,117M,66M,33M,130M,77M
Funds from Operations,1.88B,1.9B,1.89B,2.03B,1.47B
Extraordinaries,-,-,-,-,-
Changes in Working Capital,(409M),(214M),(738M),633M,(1.05B)
Receivables,-,(447M),(1.13B),548M,(478M)
Accounts Payable,-,309M,311M,(393M),253M
Other Assets/Liabilities,-,(30M),(194M),729M,(211M)
Net Operating Cash Flow,-,1.69B,1.15B,2.66B,415M
Net Operating Cash Flow Growth,-,-,-31.91%,131.53%,-84.39%
Net Operating Cash Flow / Sales,-,27.22%,18.77%,42.47%,6.66%
Item,01-Jan-0001,31-Jul-2021,31-Oct-2021,31-Jan-2022,30-Apr-2022
Capital Expenditures,-,(137M),(206M),(144M),(210M)
Capital Expenditures Growth,-,-,-50.36%,30.10%,-45.83%
Capital Expenditures / Sales,-,-2.21%,-3.37%,-2.30%,-3.37%
Capital Expenditures (Fixed Assets),-,(137M),(206M),(144M),(210M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,(441M),-,-,-,-
Sale of Fixed Assets & Businesses,-,-,-,-,-
Purchase/Sale of Investments,-,(57M),(381M),6M,(203M)
Purchase of Investments,-,(457M),(828M),(312M),(524M)
Sale/Maturity of Investments,-,400M,447M,318M,321M
Other Uses,-,-,-,-,-
Other Sources,-,-,-,-,-
Net Investing Cash Flow,-,(194M),(587M),(138M),(413M)
Net Investing Cash Flow Growth,-,-,-202.58%,76.49%,-199.28%
Net Investing Cash Flow / Sales,-,-3.13%,-9.60%,-2.21%,-6.63%
