Item,30-Apr-2021,31-Jul-2021,31-Oct-2021,31-Jan-2022,30-Apr-2022
Net Income before Extraordinaries,147M,153.9M,206M,69.7M,202.1M
Net Income Growth,-,4.69%,33.85%,-66.17%,189.96%
"Depreciation, Depletion & Amortization",114.7M,113.9M,115.9M,115.2M,114.1M
Depreciation and Depletion,57.8M,58.5M,60.5M,59.9M,56.6M
Amortization of Intangible Assets,56.9M,55.4M,55.4M,55.3M,57.5M
Deferred Taxes & Investment Tax Credit,(13.9M),-,-,-,(38.1M)
Deferred Taxes,(13.9M),-,-,-,(38.1M)
Investment Tax Credit,-,-,-,-,-
Other Funds,12.4M,19.1M,11.2M,152.5M,12.4M
Funds from Operations,260.2M,286.9M,333.1M,337.4M,290.5M
Extraordinaries,-,-,-,-,-
Changes in Working Capital,30.8M,(149.1M),(168M),102.3M,103.2M
Receivables,72.4M,(32.9M),(92.7M),94.9M,38.2M
Accounts Payable,118.2M,28.5M,(36.7M),(7M),164.7M
Other Assets/Liabilities,(29.9M),(1.9M),30.7M,(16M),(82.5M)
Net Operating Cash Flow,291M,137.8M,165.1M,439.7M,393.7M
Net Operating Cash Flow Growth,-,-52.65%,19.81%,166.32%,-10.46%
Net Operating Cash Flow / Sales,15.15%,7.42%,8.05%,21.37%,19.36%
Item,30-Apr-2021,31-Jul-2021,31-Oct-2021,31-Jan-2022,30-Apr-2022
Capital Expenditures,(108M),(68M),(59.2M),(117.3M),(173M)
Capital Expenditures Growth,-,37.04%,12.94%,-98.14%,-47.49%
Capital Expenditures / Sales,-5.62%,-3.66%,-2.89%,-5.70%,-8.51%
Capital Expenditures (Fixed Assets),(108M),(68M),(59.2M),(117.3M),(173M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,-,-,-,-,-
Sale of Fixed Assets & Businesses,(5.3M),-,-,130.2M,(200K)
Purchase/Sale of Investments,-,-,-,-,-
Purchase of Investments,-,-,-,-,-
Sale/Maturity of Investments,-,-,-,-,-
Other Uses,-,(12M),(3.8M),(1.8M),(50.4M)
Other Sources,-,-,600K,(300K),(300K)
Net Investing Cash Flow,(108M),(80M),(63M),11.1M,(223.6M)
Net Investing Cash Flow Growth,-,25.93%,21.25%,117.62%,"-2,114.41%"
Net Investing Cash Flow / Sales,-5.62%,-4.31%,-3.07%,0.54%,-10.99%
