Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Funds from Operations,1.22B,1.31B,1.47B,1.61B,1.51B
Funds from Operations Growth,-,7.41%,12.49%,9.60%,-6.09%
Changes in Working Capital,226M,510M,536M,(213M),306M
Receivables,308M,(17M),(155M),65M,218M
Inventories,-,-,-,-,-
Accounts Payable,-,-,-,-,-
Other Assets/Liabilities,(102M),225M,219M,135M,66M
Net Operating Cash Flow,1.44B,1.82B,2B,1.4B,1.82B
Net Operating Cash Flow Growth,-,25.95%,10.41%,-30.34%,30.16%
Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Capital Expenditures,-,-,-,-,-
Capital Expenditures Growth,-,-,-,-,-
Capital Expenditures (Fixed Assets),-,-,-,-,-
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,-,-,-,-,-
Sale of Fixed Assets & Businesses,-,-,-,-,-
Purchase/Sale of Investments,803M,263M,131M,520M,(373M)
Purchase of Investments,(519M),(150M),(700M),(1.48B),(1.18B)
Sale/Maturity of Investments,1.32B,413M,831M,2B,809M
Other Uses,(57M),(113M),(127M),(117M),(149M)
Other Sources,-,-,-,-,-
Net Investing Cash Flow,(1.85B),(1.83B),(5.76B),1.82B,(1.05B)
