Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Net Income before Extraordinaries,184.1M,310.4M,426.4M,531M,456.6M
Net Income Growth,-,68.60%,37.37%,24.53%,-14.01%
"Depreciation, Depletion & Amortization",153.1M,149.9M,140.3M,140.6M,138.4M
Depreciation and Depletion,128.3M,125.2M,115.8M,119.3M,116.5M
Amortization of Intangible Assets,24.8M,24.7M,24.5M,21.3M,21.9M
Deferred Taxes & Investment Tax Credit,18.5M,44.2M,22.9M,38.3M,(31.6M)
Deferred Taxes,18.5M,44.2M,22.9M,38.3M,(31.6M)
Investment Tax Credit,-,-,-,-,-
Other Funds,67.4M,27.9M,41.6M,16.3M,151.1M
Funds from Operations,423.1M,532.4M,631.2M,726.2M,714.5M
Extraordinaries,-,-,-,-,-
Changes in Working Capital,64.9M,(83.5M),(4.6M),(247.6M),(293.7M)
Receivables,14.2M,(42.4M),(98.2M),(107.2M),(237.2M)
Accounts Payable,23.1M,(6.4M),45.1M,35.7M,22.4M
Other Assets/Liabilities,(9.5M),(10.9M),31.5M,23.8M,(103.5M)
Net Operating Cash Flow,488M,448.9M,626.6M,478.6M,420.8M
Net Operating Cash Flow Growth,-,-8.01%,39.59%,-23.62%,-12.08%
Net Operating Cash Flow / Sales,29.22%,25.77%,33.94%,24.61%,20.18%
Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Capital Expenditures,(107.2M),(111.9M),(195.5M),(173.8M),(249.5M)
Capital Expenditures Growth,-,-4.38%,-74.71%,11.10%,-43.56%
Capital Expenditures / Sales,-6.42%,-6.42%,-10.59%,-8.94%,-11.97%
Capital Expenditures (Fixed Assets),(107.2M),(111.9M),(195.5M),(173.8M),(249.5M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,-,-,(399.4M),(2.4M),-
Sale of Fixed Assets & Businesses,6.4M,3.4M,11M,51.2M,77.5M
Purchase/Sale of Investments,-,-,-,-,-
Purchase of Investments,-,-,-,-,-
Sale/Maturity of Investments,-,-,-,-,-
Other Uses,-,(43.8M),(5.1M),(7.8M),(8.5M)
Other Sources,2.7M,-,-,-,-
Net Investing Cash Flow,(100.8M),(149.5M),(587.6M),(129.4M),(170.1M)
Net Investing Cash Flow Growth,-,-48.31%,-293.04%,77.98%,-31.45%
Net Investing Cash Flow / Sales,-6.04%,-8.58%,-31.83%,-6.65%,-8.16%
