Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Net Income before Extraordinaries,30.46M,62.71M,938.47M,608M,1.23B
Net Income Growth,-,105.86%,"1,396.43%",-35.21%,102.14%
"Depreciation, Depletion & Amortization",91.55M,97.29M,410.01M,360M,414M
Depreciation and Depletion,91.55M,97.29M,410.01M,360M,414M
Amortization of Intangible Assets,-,-,-,-,-
Deferred Taxes & Investment Tax Credit,2.32M,1.83M,109.47M,36M,65M
Deferred Taxes,2.32M,1.83M,109.47M,36M,65M
Investment Tax Credit,-,-,-,-,-
Other Funds,91.09M,147.01M,(432.46M),228M,(215M)
Funds from Operations,215.43M,308.85M,1.03B,1.23B,1.49B
Extraordinaries,-,-,-,-,-
Changes in Working Capital,(36.48M),(63.66M),(73.16M),90M,(614M)
Receivables,15.14M,(102.01M),(159.02M),(57M),(432M)
Accounts Payable,(15.3M),76.26M,(17.39M),21M,126M
Other Assets/Liabilities,(5.34M),1.05M,(1.71M),3M,23M
Net Operating Cash Flow,178.94M,245.19M,952.34M,1.32B,879M
Net Operating Cash Flow Growth,-,37.02%,288.40%,38.82%,-33.51%
Net Operating Cash Flow / Sales,43.45%,38.21%,44.41%,75.16%,33.32%
Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Capital Expenditures,(151.32M),(184.1M),(268.96M),(271M),(474M)
Capital Expenditures Growth,-,-21.66%,-46.09%,-0.76%,-74.91%
Capital Expenditures / Sales,-36.75%,-28.69%,-12.54%,-15.41%,-17.97%
Capital Expenditures (Fixed Assets),(151.32M),(184.1M),(268.96M),(271M),(474M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,-,-,-,-,-
Sale of Fixed Assets & Businesses,20K,207K,7.68M,2M,2M
Purchase/Sale of Investments,-,-,-,-,-
Purchase of Investments,-,-,-,-,-
Sale/Maturity of Investments,-,-,-,-,-
Other Uses,-,-,-,-,-
Other Sources,-,-,-,-,-
Net Investing Cash Flow,(151.3M),(183.89M),771.72M,(269M),(472M)
Net Investing Cash Flow Growth,-,-21.54%,519.66%,-134.86%,-75.46%
Net Investing Cash Flow / Sales,-36.74%,-28.66%,35.99%,-15.29%,-17.89%
