Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Net Income before Extraordinaries,2.58B,28.21B,3.96B,3.65B,3.41B
Net Income Growth,-,995.38%,-85.96%,-7.88%,-6.47%
"Depreciation, Depletion & Amortization",204M,202M,198M,207M,230M
Depreciation and Depletion,191M,157M,185M,187M,186M
Amortization of Intangible Assets,13M,45M,13M,20M,44M
Deferred Taxes & Investment Tax Credit,1.01B,(108M),(15M),36M,(224M)
Deferred Taxes,1.01B,(108M),(15M),36M,(224M)
Investment Tax Credit,-,-,-,-,-
Other Funds,1.8B,(22.36B),2.23B,2.77B,2.94B
Funds from Operations,5.58B,5.94B,6.37B,6.66B,6.36B
Extraordinaries,-,-,-,-,-
Changes in Working Capital,(1.17B),(1.97B),(2.14B),(3.17B),(1.11B)
Receivables,(279M),(240M),(289M),119M,(158M)
Accounts Payable,42M,87M,(9M),(66M),46M
Other Assets/Liabilities,(1.61B),(2.1B),(2.05B),(2.85B),(1.21B)
Net Operating Cash Flow,4.41B,3.97B,4.23B,3.49B,5.25B
Net Operating Cash Flow Growth,-,-10.04%,6.57%,-17.56%,50.53%
Net Operating Cash Flow / Sales,72.01%,60.54%,59.95%,48.53%,72.19%
Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Capital Expenditures,(179M),(208M),(173M),(267M),(235M)
Capital Expenditures Growth,-,-16.20%,16.83%,-54.34%,11.99%
Capital Expenditures / Sales,-2.92%,-3.17%,-2.45%,-3.71%,-3.23%
Capital Expenditures (Fixed Assets),(179M),(208M),(173M),(267M),(235M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,-,-,(832M),(1.11B),-
Sale of Fixed Assets & Businesses,-,-,-,-,-
Purchase/Sale of Investments,187M,(1.49B),386M,(414M),(1.88B)
Purchase of Investments,(1.23B),(1.91B),(988M),(1.02B),(2.48B)
Sale/Maturity of Investments,1.42B,415M,1.37B,601M,605M
Other Uses,-,-,-,-,-
Other Sources,-,-,-,-,-
Net Investing Cash Flow,72M,(1.7B),(547M),(1.79B),(2.06B)
Net Investing Cash Flow Growth,-,"-2,458.33%",67.79%,-226.33%,-15.57%
Net Investing Cash Flow / Sales,1.17%,-25.89%,-7.75%,-24.83%,-28.36%
