Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Funds from Operations,806M,433M,595M,946M,837M
Funds from Operations Growth,-,-46.28%,37.41%,58.99%,-11.52%
Changes in Working Capital,1.34B,355M,1.04B,(533M),738M
Receivables,2M,(124M),(160M),(83M),(128M)
Inventories,-,-,-,-,-
Accounts Payable,316M,(7M),154M,(461M),228M
Other Assets/Liabilities,1.6B,281M,956M,11M,597M
Net Operating Cash Flow,2.15B,788M,1.63B,413M,1.58B
Net Operating Cash Flow Growth,-,-63.33%,107.36%,-74.72%,281.36%
Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Capital Expenditures,(33M),(31M),(34M),(44M),(40M)
Capital Expenditures Growth,-,6.06%,-9.68%,-29.41%,9.09%
Capital Expenditures (Fixed Assets),(33M),(31M),(34M),(44M),(40M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,-,-,(576M),-,34M
Sale of Fixed Assets & Businesses,-,-,-,-,-
Purchase/Sale of Investments,8M,(374M),(2.11B),(1.76B),(2.95B)
Purchase of Investments,(3.43B),(4.14B),(4.84B),(4.17B),(5.18B)
Sale/Maturity of Investments,3.44B,3.77B,2.73B,2.41B,2.23B
Other Uses,(107M),(210M),(409M),(12M),(131M)
Other Sources,12M,128M,164M,170M,188M
Net Investing Cash Flow,(100M),(464M),(3.01B),(1.67B),(2.93B)
