Item,2017,2018,2019,2020,2021
Sales/Revenue,9.71B,10.41B,11.09B,11.36B,13.88B
Sales Growth,-,7.25%,6.53%,2.39%,22.20%
Cost of Goods Sold (COGS) incl. D&A,7.31B,7.89B,8.5B,8.79B,10.5B
COGS Growth,-,7.86%,7.80%,3.35%,19.46%
COGS excluding D&A,6.3B,6.75B,7.3B,7.5B,9.23B
Depreciation & Amortization Expense,1.01B,1.14B,1.2B,1.29B,1.26B
Depreciation,125M,125M,128M,134M,147M
Amortization of Intangibles,886M,1.02B,1.07B,1.15B,1.12B
Gross Income,2.4B,2.53B,2.59B,2.57B,3.38B
Gross Income Growth,-,5.38%,2.57%,-0.77%,31.54%
Gross Profit Margin,-,-,-,-,24.37%
SG&A Expense,1.62B,1.72B,1.73B,1.79B,1.96B
SGA Growth,-,5.80%,1.05%,3.17%,9.78%
Research & Development,-,-,-,-,-
Other SG&A,1.62B,1.72B,1.73B,1.79B,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,120M,95M,95M,46M,3M
EBIT after Unusual Expense,(120M),715M,762M,736M,1.42B
Non Operating Income/Expense,(22M),19M,28M,34M,61M
Non-Operating Interest Income,7M,8M,9M,6M,6M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,346M,414M,447M,403M,354M
Interest Expense Growth,-,19.65%,7.97%,-9.84%,-12.16%
Gross Interest Expense,346M,414M,447M,403M,354M
Interest Capitalized,-,-,-,-,-
Pretax Income,294M,328M,352M,373M,1.13B
Pretax Income Growth,-,11.56%,7.32%,5.97%,202.41%
Pretax Margin,-,-,-,-,8.13%
Income Tax,(992M),59M,116M,72M,163M
Income Tax - Current Domestic,(3M),17M,11M,-,16M
Income Tax - Current Foreign,222M,233M,248M,244M,293M
Income Tax - Deferred Domestic,(1.17B),(170M),(109M),(161M),(106M)
Income Tax - Deferred Foreign,(44M),(21M),(34M),(11M),(40M)
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,10M,15M,(9M),7M,6M
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,1.3B,284M,227M,308M,971M
Minority Interest Expense,19M,25M,36M,29M,5M
Net Income,1.28B,259M,191M,279M,966M
Net Income Growth,-,-79.72%,-26.25%,46.07%,246.24%
Net Margin Growth,-,-,-,-,6.96%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,1.28B,259M,191M,279M,966M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,1.28B,259M,191M,279M,966M
EPS (Basic),5.86,1.27,0.98,1.46,5.05
EPS (Basic) Growth,-,-78.31%,-23.00%,48.97%,246.06%
Basic Shares Outstanding,217.8M,203.7M,195.1M,191.3M,191.4M
EPS (Diluted),5.74,1.24,0.96,1.43,4.95
EPS (Diluted) Growth,-,-78.32%,-23.08%,49.52%,246.23%
Diluted Shares Outstanding,222.6M,208.2M,199.6M,195M,195M
EBITDA,1.79B,1.95B,2.06B,2.07B,2.68B
EBITDA Growth,-,9.24%,5.54%,0.49%,29.63%
EBITDA Margin,-,-,-,-,19.32%
