Item,2017,2018,2019,2020,2021
Sales/Revenue,2.65B,3.11B,3.26B,3.15B,3.66B
Sales Growth,-,17.45%,5.02%,-3.57%,16.25%
Cost of Goods Sold (COGS) incl. D&A,1.35B,1.53B,1.58B,1.48B,1.7B
COGS Growth,-,12.87%,3.40%,-6.25%,14.89%
COGS excluding D&A,1.15B,1.29B,1.35B,1.26B,1.5B
Depreciation & Amortization Expense,204.7M,238.8M,229.5M,220.3M,205.8M
Depreciation,34.6M,35.6M,39.4M,39.7M,41.3M
Amortization of Intangibles,148.8M,179.6M,167.8M,157.8M,138.6M
Gross Income,1.29B,1.58B,1.68B,1.67B,1.96B
Gross Income Growth,-,22.25%,6.57%,-1.06%,17.45%
Gross Profit Margin,-,-,-,-,53.51%
SG&A Expense,1.04B,1.21B,1.26B,1.2B,1.37B
SGA Growth,-,16.28%,4.00%,-4.92%,14.45%
Research & Development,370.2M,446.1M,469.7M,475.9M,536.6M
Other SG&A,673.1M,767.1M,792M,723.7M,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,14.3M,47.1M,47.3M,47.6M,23.9M
EBIT after Unusual Expense,(14.3M),320.7M,375.9M,419.8M,561M
Non Operating Income/Expense,8.2M,1.8M,15.5M,13.4M,41.3M
Non-Operating Interest Income,-,-,-,-,-
Equity in Affiliates (Pretax),29.5M,28.7M,35.8M,39.4M,37.7M
Interest Expense,25.2M,73.2M,82.4M,77.6M,65.4M
Interest Expense Growth,-,190.48%,12.57%,-5.83%,-15.72%
Gross Interest Expense,25.2M,73.2M,82.4M,77.6M,65.4M
Interest Capitalized,-,-,-,-,-
Pretax Income,248.2M,278M,344.8M,395M,574.6M
Pretax Income Growth,-,12.01%,24.03%,14.56%,45.47%
Pretax Margin,-,-,-,-,15.70%
Income Tax,129.7M,(5.3M),(169.7M),4.4M,81.8M
Income Tax - Current Domestic,103.1M,(14.7M),1.3M,(5M),32.7M
Income Tax - Current Foreign,42.7M,57M,49.2M,62.2M,76M
Income Tax - Deferred Domestic,(7.1M),(29.4M),251.6M,(9.2M),(25.4M)
Income Tax - Deferred Foreign,(9M),(18.2M),(471.8M),(43.6M),(1.5M)
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,118.5M,283.3M,514.5M,390.6M,492.8M
Minority Interest Expense,100K,500K,200K,700K,100K
Net Income,118.4M,282.8M,514.3M,389.9M,492.7M
Net Income Growth,-,138.85%,81.86%,-24.19%,26.37%
Net Margin Growth,-,-,-,-,13.47%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,118.4M,282.8M,514.3M,389.9M,492.7M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,118.4M,282.8M,514.3M,389.9M,492.7M
EPS (Basic),0.47,1.13,2.05,1.56,1.96
EPS (Basic) Growth,-,140.89%,81.28%,-24.10%,25.91%
Basic Shares Outstanding,252.1M,250M,250.8M,250.5M,251.4M
EPS (Diluted),0.46,1.12,2.03,1.55,1.94
EPS (Diluted) Growth,-,141.98%,82.22%,-24.01%,25.37%
Diluted Shares Outstanding,256.7M,253.4M,252.9M,252.3M,254.3M
EBITDA,454.7M,606.6M,652.7M,687.7M,790.7M
EBITDA Growth,-,33.41%,7.60%,5.36%,14.98%
EBITDA Margin,-,-,-,-,21.61%
