Item,2017,2018,2019,2020,2021
Sales/Revenue,9.4B,10.49B,7.34B,7.42B,8.35B
Sales Growth,-,11.51%,-29.98%,1.04%,12.59%
Cost of Goods Sold (COGS) incl. D&A,8.02B,9.2B,6.01B,5.68B,6.46B
COGS Growth,-,14.75%,-34.75%,-5.45%,13.79%
COGS excluding D&A,6.98B,7.96B,4.76B,4.49B,5.14B
Depreciation & Amortization Expense,1.04B,1.24B,1.25B,1.19B,1.32B
Depreciation,619M,626M,1.24B,1.18B,1.31B
Amortization of Intangibles,417M,617M,9M,8M,7M
Gross Income,1.38B,1.28B,1.34B,1.74B,1.89B
Gross Income Growth,-,-7.30%,4.21%,30.14%,8.68%
Gross Profit Margin,-,-,-,-,22.64%
SG&A Expense,-,-,-,-,-
SGA Growth,-,-,-,-,-
Research & Development,-,-,-,-,-
Other SG&A,-,-,-,-,-
Other Operating Expense,391M,406M,474M,516M,528M
Unusual Expense,61M,173M,(276M),136M,164M
EBIT after Unusual Expense,(61M),704M,276M,(136M),1.2B
Non Operating Income/Expense,256M,(77M),(50M),4M,108M
Non-Operating Interest Income,-,-,22M,-,-
Equity in Affiliates (Pretax),265M,307M,230M,-,-
Interest Expense,390M,420M,567M,529M,529M
Interest Expense Growth,-,7.69%,35.00%,-6.70%,0.00%
Gross Interest Expense,399M,428M,567M,529M,529M
Interest Capitalized,9M,8M,-,-,-
Pretax Income,1.06B,514M,774M,563M,778M
Pretax Income Growth,-,-51.65%,50.58%,-27.26%,38.19%
Pretax Margin,-,-,-,-,9.32%
Income Tax,(729M),146M,92M,80M,110M
Income Tax - Current Domestic,41M,98M,-,(4M),(28M)
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,(770M),48M,-,84M,138M
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,1.79B,368M,682M,483M,668M
Minority Interest Expense,-,-,-,-,-
Net Income,1.79B,368M,682M,483M,668M
Net Income Growth,-,-79.46%,85.33%,-29.18%,38.30%
Net Margin Growth,-,-,-,-,8.00%
Extraordinaries & Discontinued Operations,-,-,109M,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,109M,(1.26B),818M
Net Income After Extraordinaries,1.79B,368M,791M,(773M),1.49B
Preferred Dividends,-,35M,117M,176M,95M
Net Income Available to Common,1.79B,333M,674M,(949M),1.39B
EPS (Basic),4.16,0.74,1.34,(1.79),2.35
EPS (Basic) Growth,-,-82.16%,80.95%,-233.12%,231.27%
Basic Shares Outstanding,430.96M,448.83M,502.05M,531.03M,592.93M
EPS (Diluted),4.13,0.74,1.33,(1.79),2.28
EPS (Diluted) Growth,-,-82.16%,81.28%,-233.95%,227.61%
Diluted Shares Outstanding,434.31M,452.47M,505.16M,531.03M,609.94M
EBITDA,2.03B,2.12B,2.11B,2.42B,2.68B
EBITDA Growth,-,4.48%,-0.38%,14.35%,10.97%
EBITDA Margin,-,-,-,-,32.09%
