Item,2017,2018,2019,2020,2021
Sales/Revenue,153.14B,167.94B,179.59B,189.89B,213.99B
Sales Growth,-,9.66%,6.94%,5.74%,12.69%
Cost of Goods Sold (COGS) incl. D&A,149B,163.83B,175.06B,185.1B,207.72B
COGS Growth,-,9.95%,6.86%,5.74%,12.22%
COGS excluding D&A,148.57B,163.33B,174.57B,184.7B,207.21B
Depreciation & Amortization Expense,422.92M,499.64M,488.54M,401.62M,505.17M
Depreciation,262.42M,318.48M,321.1M,290.74M,326.82M
Amortization of Intangibles,160.5M,181.16M,167.44M,110.88M,178.35M
Gross Income,4.15B,4.11B,4.53B,4.79B,6.27B
Gross Income Growth,-,-0.86%,10.19%,5.78%,30.83%
Gross Profit Margin,-,-,-,-,2.93%
SG&A Expense,2.13B,2.46B,2.66B,2.77B,3.59B
SGA Growth,-,15.58%,8.26%,3.89%,29.89%
Research & Development,-,-,-,-,-
Other SG&A,2.13B,2.46B,2.66B,2.77B,3.59B
Other Operating Expense,-,-,-,-,-
Unusual Expense,957.93M,261.03M,754.6M,7.18B,270.09M
EBIT after Unusual Expense,1.06B,1.39B,1.11B,(5.16B),2.4B
Non Operating Income/Expense,2.73M,4.53M,12.95M,1.58M,(8.99M)
Non-Operating Interest Income,3.86M,14.94M,37.71M,20.64M,8.47M
Equity in Affiliates (Pretax),-,(42.33M),-,-,-
Interest Expense,149.04M,189.64M,195.47M,158.52M,182.54M
Interest Expense Growth,-,27.24%,3.08%,-18.90%,15.15%
Gross Interest Expense,149.04M,189.64M,195.47M,158.52M,182.54M
Interest Capitalized,-,-,-,-,-
Pretax Income,917.89M,1.18B,967.11M,(5.29B),2.22B
Pretax Income Growth,-,28.28%,-17.86%,-647.39%,141.97%
Pretax Margin,-,-,-,-,1.04%
Income Tax,553.4M,(438.47M),112.97M,(1.89B),677.25M
Income Tax - Current Domestic,177.02M,287.08M,2.45M,(443.52M),215.03M
Income Tax - Current Foreign,57.31M,69.97M,81.99M,94.21M,127.35M
Income Tax - Deferred Domestic,320.07M,(794.14M),30.73M,(1.18B),158.94M
Income Tax - Deferred Foreign,(1M),(1.39M),(2.2M),(365.95M),175.92M
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,364.48M,1.62B,854.14M,(3.4B),1.54B
Minority Interest Expense,-,(42.51M),(1.23M),9.16M,4.68M
Net Income,364.48M,1.66B,855.37M,(3.41B),1.54B
Net Income Growth,-,355.00%,-48.42%,-498.51%,145.18%
Net Margin Growth,-,-,-,-,0.72%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,364.48M,1.66B,855.37M,(3.41B),1.54B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,364.48M,1.66B,855.37M,(3.41B),1.54B
EPS (Basic),1.67,7.61,4.07,(16.65),7.48
EPS (Basic) Growth,-,355.69%,-46.52%,-508.98%,144.93%
Basic Shares Outstanding,218.38M,217.87M,210.17M,204.78M,205.92M
EPS (Diluted),1.64,7.53,4.04,(16.65),7.39
EPS (Diluted) Growth,-,359.15%,-46.38%,-512.24%,144.38%
Diluted Shares Outstanding,221.6M,220.34M,211.84M,204.78M,208.47M
EBITDA,2.44B,2.15B,2.36B,2.43B,3.18B
EBITDA Growth,-,-11.90%,9.51%,3.02%,31.08%
EBITDA Margin,-,-,-,-,1.49%
