Item,2017,2018,2019,2020,2021
Sales/Revenue,32.34B,32.68B,34.23B,36.05B,40.96B
Sales Growth,-,1.05%,4.75%,5.32%,13.60%
Premiums Earned,29.03B,30.06B,31.29B,33.12B,36.36B
Total Investment Income,3.22B,3.27B,3.47B,3.43B,3.45B
Realized Gains (Losses),(3M),(67M),24M,(369M),502M
Other Operating Income,87M,(585M),(554M),(129M),650M
"Losses, Claims & Reserves",19.13B,18.66B,19.47B,22.49B,22.68B
"Losses, Claims & Reserves Growth",-,-2.47%,4.36%,15.53%,0.82%
"Losses, Benefits & Adjustments",19.13B,18.66B,19.47B,22.49B,22.68B
Loss Ratio,-,-,-,-,N/A
"Selling, General & Admin. Expenses & Other",8.87B,9.14B,9.49B,9.82B,10.34B
SGA Growth,-,2.96%,3.84%,3.46%,5.35%
"Selling, General & Admin. Expenses",8.87B,9.14B,9.49B,9.82B,10.34B
"Other Selling, General & Admin. Expense",-,-,-,-,-
Underwriting & Commissions,5.75B,5.89B,6.13B,6.52B,6.9B
Other Operating Expense,-,-,-,-,-
Operating Income Before Interest Expense,4.34B,4.89B,5.27B,3.74B,7.94B
Operating Income Growth,-,12.66%,7.92%,-29.02%,112.05%
"Interest Expense, Net of Interest Capitalized",607M,641M,552M,516M,492M
Interest Expense (excl. Interest Capitalized),607M,641M,552M,516M,492M
Interest Capitalized,-,-,-,-,-
Operating Income After Interest Expense,4.34B,4.89B,5.27B,3.74B,7.94B
Non-Operating Income (Expense),303M,472M,552M,936M,2.37B
Miscellaneous Non Operating Expense,(115M),(42M),(65M),(83M),(60M)
Equity in Affiliates (Pretax),418M,514M,617M,1.02B,2.43B
Unusual Expense,310M,59M,23M,-,-
Pretax Income,3.72B,4.66B,5.25B,4.16B,9.82B
Pretax Income Growth,-,25.12%,12.71%,-20.71%,135.85%
Income Tax,(139M),695M,795M,629M,1.28B
Income Tax - Current Domestic,46M,89M,29M,52M,65M
Income Tax - Current Foreign,313M,563M,879M,876M,1.29B
Income Tax - Deferred Domestic,2M,3M,11M,2M,(15M)
Income Tax - Deferred Foreign,(500M),40M,(124M),(301M),(67M)
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,3.86B,3.96B,4.45B,3.53B,8.54B
Minority Interest Expense,-,-,-,-,-
Net Income,3.86B,3.96B,4.45B,3.53B,8.54B
Net Income Growth,-,2.62%,12.42%,-20.68%,141.69%
Net Margin Growth,-,-,-,-,20.85%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,3.86B,3.96B,4.45B,3.53B,8.54B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,3.86B,3.96B,4.45B,3.53B,8.54B
EPS (Basic),8.27,8.55,9.77,7.82,19.41
EPS (Basic) Growth,-,3.39%,14.32%,-19.92%,148.09%
Basic Shares Outstanding,467.15M,463.63M,455.91M,451.6M,439.97M
EPS (Diluted),8.19,8.49,9.71,7.79,19.27
EPS (Diluted) Growth,-,3.58%,14.35%,-19.72%,147.28%
Diluted Shares Outstanding,471.2M,466.8M,458.91M,453.44M,443.2M
