Item,2017,2018,2019,2020,2021
Sales/Revenue,20.92B,24.36B,25.54B,32.22B,39.21B
Sales Growth,-,16.45%,4.86%,26.14%,21.71%
Cost of Goods Sold (COGS) incl. D&A,11.24B,13.37B,14.2B,16.19B,19.58B
COGS Growth,-,18.96%,6.19%,14.04%,20.91%
COGS excluding D&A,9.21B,11.1B,11.92B,13.87B,16.99B
Depreciation & Amortization Expense,2.03B,2.27B,2.28B,2.33B,2.59B
Depreciation,439M,526M,564M,658M,831M
Amortization of Intangibles,1.59B,1.74B,1.71B,1.67B,1.76B
Gross Income,9.68B,10.99B,11.34B,16.03B,19.63B
Gross Income Growth,-,13.52%,3.24%,41.28%,22.51%
Gross Profit Margin,-,-,-,-,50.07%
SG&A Expense,6.3B,7B,7.07B,8.13B,9.32B
SGA Growth,-,11.00%,1.00%,15.07%,14.59%
Research & Development,888M,967M,1B,1.18B,1.41B
Other SG&A,5.41B,6.03B,6.06B,-,-
Other Operating Expense,110M,121M,20M,-,-
Unusual Expense,217M,50M,(439M),182M,865M
EBIT after Unusual Expense,(217M),3.82B,4.7B,(182M),9.45B
Non Operating Income/Expense,(110M),(30M),(176M),3M,(119M)
Non-Operating Interest Income,81M,137M,224M,65M,43M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,592M,667M,676M,553M,536M
Interest Expense Growth,-,12.67%,1.35%,-18.20%,-3.07%
Gross Interest Expense,592M,667M,676M,553M,536M
Interest Capitalized,-,-,-,-,-
Pretax Income,2.43B,3.26B,4.07B,7.23B,8.84B
Pretax Income Growth,-,34.29%,24.77%,77.64%,22.28%
Pretax Margin,-,-,-,-,22.55%
Income Tax,201M,324M,374M,850M,1.11B
Income Tax - Current Domestic,1.32B,224M,329M,696M,606M
Income Tax - Current Foreign,576M,574M,544M,423M,1.15B
Income Tax - Deferred Domestic,(1.43B),(287M),(247M),(251M),(246M)
Income Tax - Deferred Foreign,(271M),(187M),(252M),(18M),(399M)
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,(3M),(4M)
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,2.23B,2.94B,3.7B,6.38B,7.73B
Minority Interest Expense,-,-,-,2M,3M
Net Income,2.23B,2.94B,3.7B,6.38B,7.73B
Net Income Growth,-,31.87%,25.80%,72.48%,21.18%
Net Margin Growth,-,-,-,-,19.70%
Extraordinaries & Discontinued Operations,(3M),-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,(3M),-,-,-,-
Net Income After Extraordinaries,2.23B,2.94B,3.7B,6.38B,7.73B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,2.23B,2.94B,3.7B,6.38B,7.73B
EPS (Basic),5.63,7.31,9.24,16.1,19.61
EPS (Basic) Growth,-,29.77%,26.40%,74.23%,21.79%
Basic Shares Outstanding,395M,402M,400M,396M,394M
EPS (Diluted),5.59,7.24,9.17,15.98,19.46
EPS (Diluted) Growth,-,29.52%,26.67%,74.21%,21.79%
Diluted Shares Outstanding,398M,406M,403M,399M,397M
EBITDA,5.3B,6.14B,6.54B,10.22B,12.91B
EBITDA Growth,-,15.81%,6.48%,56.40%,26.30%
EBITDA Margin,-,-,-,-,32.92%
