Item,2017,2018,2019,2020,2021
Sales/Revenue,3.5B,3.81B,5.22B,5.11B,4.8B
Sales Growth,-,8.76%,37.05%,-2.23%,-6.03%
Cost of Goods Sold (COGS) incl. D&A,1.6B,1.69B,2.54B,2.56B,2.38B
COGS Growth,-,5.47%,50.09%,0.61%,-6.85%
COGS excluding D&A,1.46B,1.56B,2.32B,2.27B,2.13B
Depreciation & Amortization Expense,140.16M,128.85M,224.64M,283M,252M
Depreciation,50.94M,56.4M,89.69M,114M,115M
Amortization of Intangibles,89.23M,72.45M,134.95M,169M,137M
Gross Income,1.9B,2.12B,2.68B,2.55B,2.42B
Gross Income Growth,-,11.53%,26.63%,-4.91%,-5.21%
Gross Profit Margin,-,-,-,-,50.39%
SG&A Expense,409.08M,442.5M,668.97M,696.3M,650M
SGA Growth,-,8.17%,51.18%,4.08%,-6.65%
Research & Development,73.8M,73.8M,116.8M,130.9M,105.6M
Other SG&A,335.28M,368.7M,552.17M,565.4M,544.4M
Other Operating Expense,-,-,-,-,-
Unusual Expense,13.6M,21.4M,94.3M,77.7M,65M
EBIT after Unusual Expense,1.48B,(21.4M),1.92B,1.78B,1.7B
Non Operating Income/Expense,-,400K,9.33M,24M,110M
Non-Operating Interest Income,-,-,-,-,-
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,639.3M,669.4M,865.83M,1.06B,1.1B
Interest Expense Growth,-,4.71%,29.34%,22.54%,3.49%
Gross Interest Expense,639.3M,669.4M,865.83M,1.06B,1.1B
Interest Capitalized,-,-,-,-,-
Pretax Income,837.43M,985.56M,1.06B,740M,715M
Pretax Income Growth,-,17.69%,7.84%,-30.38%,-3.38%
Pretax Margin,-,-,-,-,14.90%
Income Tax,208.89M,24.02M,221.99M,87M,34M
Income Tax - Current Domestic,188.48M,148.42M,168.62M,29M,(7M)
Income Tax - Current Foreign,21.33M,27.24M,53.72M,34M,7M
Income Tax - Deferred Domestic,(918K),(151.64M),(349K),24M,5M
Income Tax - Deferred Foreign,-,-,-,-,29M
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),(159.26M),(56.15M),(111.02M),(185M),(73M)
Consolidated Net Income,469.28M,905.39M,729.86M,468M,608M
Minority Interest Expense,-,-,1.54M,1M,1M
Net Income,469.28M,905.39M,728.32M,467M,607M
Net Income Growth,-,92.93%,-19.56%,-35.88%,29.98%
Net Margin Growth,-,-,-,-,12.65%
Extraordinaries & Discontinued Operations,(31.65M),(4.47M),50.43M,47M,-
Extra Items & Gain/Loss Sale Of Assets,-,(6.84M),-,40M,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,(31.65M),2.37M,50.43M,7M,-
Net Income After Extraordinaries,437.63M,900.91M,778.75M,514M,607M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,437.63M,907.76M,778.75M,474M,607M
EPS (Basic),7.88,16.33,13.84,8.27,10.39
EPS (Basic) Growth,-,107.20%,-15.23%,-40.23%,25.65%
Basic Shares Outstanding,55.53M,55.6M,56.27M,57.3M,58.4M
EPS (Diluted),7.88,16.33,13.84,8.27,10.39
EPS (Diluted) Growth,-,107.20%,-15.23%,-40.23%,25.65%
Diluted Shares Outstanding,55.53M,55.6M,56.27M,57.3M,58.4M
EBITDA,1.63B,1.8B,2.24B,2.14B,2.02B
EBITDA Growth,-,10.69%,24.02%,-4.49%,-5.51%
EBITDA Margin,-,-,-,-,42.09%
