Item,2017,2018,2019,2020,2021
Sales/Revenue,8.19B,8.93B,8.92B,8.86B,10.32B
Sales Growth,-,9.07%,-0.13%,-0.70%,16.55%
Cost of Goods Sold (COGS) incl. D&A,5.75B,6.19B,5.98B,5.86B,7.19B
COGS Growth,-,7.62%,-3.46%,-1.95%,22.67%
COGS excluding D&A,4.89B,5.22B,4.89B,4.67B,5.87B
Depreciation & Amortization Expense,865.8M,970.7M,1.08B,1.19B,1.32B
Depreciation,843.2M,940.7M,1.05B,1.15B,1.28B
Amortization of Intangibles,22.6M,30M,33.1M,34.5M,37.2M
Gross Income,2.44B,2.74B,2.94B,3B,3.14B
Gross Income Growth,-,12.50%,7.40%,1.83%,4.61%
Gross Profit Margin,-,-,-,-,30.37%
SG&A Expense,771.1M,825.3M,822.9M,859.8M,921.9M
SGA Growth,-,7.03%,-0.29%,4.48%,7.22%
Research & Development,57.6M,64.5M,72.9M,83.9M,93.5M
Other SG&A,713.5M,760.8M,750M,775.9M,828.4M
Other Operating Expense,-,-,-,-,-
Unusual Expense,369.5M,63.4M,40.9M,(28.3M),(11.2M)
EBIT after Unusual Expense,(369.5M),1.85B,2.08B,2.17B,2.22B
Non Operating Income/Expense,114.3M,57.2M,147.9M,99.8M,124.9M
Non-Operating Interest Income,31.3M,46.3M,-,-,-
Equity in Affiliates (Pretax),80.1M,174.8M,215.4M,264.8M,294.1M
Interest Expense,105.1M,115.3M,153.4M,106.5M,136.2M
Interest Expense Growth,-,9.71%,33.04%,-30.57%,27.89%
Gross Interest Expense,124.1M,134.8M,166.9M,122.4M,164.5M
Interest Capitalized,19M,19.5M,13.5M,15.9M,28.3M
Pretax Income,1.42B,2.02B,2.29B,2.42B,2.51B
Pretax Income Growth,-,42.29%,13.62%,5.87%,3.45%
Pretax Margin,-,-,-,-,24.29%
Income Tax,260.9M,524.3M,480.1M,478.4M,462.8M
Income Tax - Current Domestic,69.8M,322.8M,187M,50.7M,114M
Income Tax - Current Foreign,229.1M,256.9M,235.5M,262.7M,254.8M
Income Tax - Deferred Domestic,7.4M,(109.2M),12.1M,105.2M,54.6M
Income Tax - Deferred Foreign,(45.4M),53.8M,45.5M,59.8M,39.4M
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,1.16B,1.49B,1.81B,1.95B,2.04B
Minority Interest Expense,20.8M,35.1M,49.4M,44.4M,15.8M
Net Income,1.13B,1.46B,1.76B,1.9B,2.03B
Net Income Growth,-,28.31%,20.91%,8.01%,6.72%
Net Margin Growth,-,-,-,-,19.65%
Extraordinaries & Discontinued Operations,1.87B,42.2M,-,(14.3M),70.3M
Extra Items & Gain/Loss Sale Of Assets,1.78B,-,-,(14.3M),70.3M
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,85.5M,42.2M,-,-,-
Net Income After Extraordinaries,3B,1.5B,1.76B,1.89B,2.1B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,1.22B,1.5B,1.76B,1.9B,2.03B
EPS (Basic),5.6,6.83,7.99,8.59,9.16
EPS (Basic) Growth,-,22.05%,16.97%,7.57%,6.53%
Basic Shares Outstanding,218M,219.3M,220.3M,221.2M,221.6M
EPS (Diluted),5.55,6.78,7.94,8.55,9.12
EPS (Diluted) Growth,-,22.23%,17.08%,7.67%,6.63%
Diluted Shares Outstanding,219.8M,220.8M,221.6M,222.3M,222.5M
EBITDA,2.53B,2.89B,3.2B,3.32B,3.53B
EBITDA Growth,-,14.04%,10.99%,3.72%,6.39%
EBITDA Margin,-,-,-,-,34.24%
